Source,avgstr,normstr
A Ashish Reddy,140.02117447769623,49.38095532185207
A Chandila,33.33333333333333,19.375
A Chopra,63.074074074074076,27.739583333333336
A Choudhary,163.88888888888889,56.09375
A Dananjaya,80.0,32.5
A Flintoff,128.9100529100529,46.25595238095238
A Kumble,111.96825396825399,41.49107142857144
A Mishra,98.80952058379391,37.790177664192036
A Mithun,123.80952380952381,44.82142857142857
A Mukund,45.45454545454545,22.784090909090907
A Nehra,55.0735294117647,25.489430147058822
A Nortje,161.11111111111111,55.3125
A Singh,26.666666666666664,17.5
A Symonds,119.93806118707504,43.732579708864854
A Uniyal,33.33333333333333,19.375
A Zampa,35.714285714285715,20.044642857142858
AA Bilakhia,86.6156462585034,34.36065051020408
AA Chavan,116.66666666666667,42.8125
AA Jhunjhunwala,109.05524355524355,40.67178724991224
AA Noffke,91.66666666666666,35.78125
AB Agarkar,127.15230050169197,45.76158451610087
AB Barath,78.33333333333333,32.03125
AB Dinda,52.916666666666664,24.8828125
AB McDonald,112.09946910286469,41.52797568518069
AB de Villiers,134.80099443428486,47.912779684642615
AC Blizzard,106.28633271490413,39.89303107606679
AC Gilchrist,121.01646211568963,44.03587997003771
AC Thomas,75.0,31.09375
AC Voges,129.6654148102622,46.46839791538625
AD Hales,116.9622507122507,42.895633012820504
AD Mascarenhas,93.4090909090909,36.27130681818181
AD Mathews,118.81021301771415,43.415372411232106
AD Nath,75.36788211788212,31.197216845654346
AD Russell,156.99307204827645,54.15430151357775
AF Milne,43.05555555555555,22.109375
AG Murtaza,75.0,31.09375
AG Paunikar,72.88304093567253,30.498355263157897
AJ Finch,116.73691239717398,42.83225661170518
AJ Turner,23.214285714285715,16.529017857142858
AJ Tye,105.84693084693086,39.76944930069931
AL Menaria,97.45453020666437,37.40908662062435
AM Nayar,102.18658864355457,38.73997805599973
AM Rahane,103.5856099952713,39.13345281117005
AN Ahmed,193.91025641025644,64.53725961538461
AN Ghosh,50.0,24.0625
AP Dole,131.57894736842104,47.00657894736842
AP Majumdar,116.63510101010101,42.80362215909091
AP Tare,122.82725201341185,44.545164628772085
AR Bawne,100.0,38.125
AR Patel,126.23410836826737,45.5033429785752
AS Joseph,115.38461538461537,42.45192307692307
AS Rajpoot,62.925170068027214,27.697704081632654
AS Raut,95.37073176539289,36.82301830901675
AS Yadav,108.57142857142857,40.53571428571429
AT Carey,111.92511192511193,41.47893772893774
AT Rayudu,115.70574897123382,42.54224189815951
AUK Pathan,122.85714285714286,44.55357142857143
Abdul Samad,163.27380952380955,55.92075892857144
Abdur Razzak,0.0,10.0
Abhishek Sharma,131.5232203693742,46.990905728886496
Anirudh Singh,69.3452380952381,29.503348214285715
Ankit Sharma,102.61111111111111,38.859375
Ankit Soni,127.77777777777777,45.9375
Anureet Singh,85.0,33.90625
Arshdeep Singh,0.0,10.0
Avesh Khan,133.33333333333331,47.5
Azhar Mahmood,111.35487880927568,41.31855966510878
B Akhil,118.34776334776333,43.285308441558435
B Chipli,100.70406850775994,38.32301926780748
B Kumar,90.26375740661454,35.38668177061034
B Laughlin,20.833333333333332,15.859375
B Lee,110.9732664995823,41.21123120300752
B Stanlake,250.0,80.3125
B Sumanth,124.4517543859649,45.00205592105263
BA Bhatt,150.0,52.1875
BA Stokes,120.47228853233727,43.88283114971986
BAW Mendis,50.0,24.0625
BB McCullum,120.33480265899875,43.8441632478434
BB Samantray,110.67708333333334,41.1279296875
BB Sran,105.71428571428571,39.73214285714286
BCJ Cutting,148.49588320176557,51.764467150496564
BE Hendricks,25.0,17.03125
BJ Haddin,163.63636363636365,56.02272727272728
BJ Hodge,109.5648912441616,40.815125662420456
BJ Rohrer,145.289575740585,50.86269317703953
BMAJ Mendis,64.27015250544663,28.075980392156865
BR Dunk,123.41269841269843,44.70982142857144
Basil Thampi,75.95238095238096,31.361607142857146
Bipul Sharma,135.1231937996644,48.003398256155606
C Madan,104.76190476190477,39.46428571428572
C Munro,106.06115453174276,39.82969971205265
C Nanda,0.0,10.0
C de Grandhomme,112.33679875458954,41.594724649728306
CA Ingram,112.08636780094801,41.52429094401663
CA Lynn,127.90701753531471,45.97384868180726
CA Pujara,97.84226366403401,37.518136655509565
CH Gayle,133.5934068543357,47.573145677781916
CH Morris,122.4824371534898,44.44818544941901
CJ Anderson,104.95991962747904,39.51997739522848
CJ Ferguson,86.81905083220872,34.417858046558706
CJ Jordan,85.01984126984128,33.91183035714286
CJ McKay,53.333333333333336,25.0
CK Kapugedera,58.97435897435898,26.586538461538463
CK Langeveldt,50.0,24.0625
CL White,106.95258402310711,40.08041425649887
CM Gautam,113.63497062628576,41.959835488642874
CR Brathwaite,157.17223252937538,54.204690398886825
CR Woakes,88.62554112554113,34.92593344155844
CRD Fernando,150.0,52.1875
CV Varun,90.90909090909092,35.56818181818182
D Kalyankrishna,50.0,24.0625
D Padikkal,109.28638860165059,40.73679679421423
D Salunkhe,143.33333333333334,50.3125
D Wiese,135.47916666666666,48.103515625
D du Preez,76.92307692307693,31.634615384615387
DA Miller,128.30255069959404,46.08509238426082
DA Warner,127.30743255079624,45.80521540491144
DAJ Bracewell,133.33333333333331,47.5
DB Das,126.93402215974615,45.7001937324286
DB Ravi Teja,123.64069884715047,44.77394655076107
DE Bollinger,78.69047619047618,32.13169642857142
DH Yagnik,127.8214595861655,45.94978550860905
DJ Bravo,135.1926581855239,48.022935114678596
DJ Harris,113.8935574229692,42.03256302521009
DJ Hooda,123.71847503562276,44.7958211037689
DJ Hussey,111.84994527855656,41.45779710959403
DJ Jacobs,88.65291571173923,34.93363254392666
DJ Muthuswami,33.33333333333333,19.375
DJ Thornely,78.125,31.97265625
DJG Sammy,122.41892610313661,44.43032296650717
DJM Short,128.18826135105203,46.052948504983384
DL Chahar,108.38095238095238,40.48214285714286
DL Vettori,99.54926201249732,37.99822994101487
DM Bravo,120.0,43.75
DNT Zoysa,110.71428571428571,41.13839285714286
DP Nannes,38.63636363636363,20.866477272727273
DP Vijaykumar,100.0,38.125
DPMD Jayawardene,114.613600309844,42.23507508714363
DR Martyn,80.76923076923077,32.71634615384615
DR Sams,0.0,10.0
DR Shorey,80.8080808080808,32.72727272727272
DR Smith,119.33494025836139,43.56295194766414
DS Kulkarni,108.84799621603028,40.613498935758514
DS Lehmann,80.88235294117646,32.748161764705884
DT Christian,118.86617299408391,43.4311111545861
DT Patil,237.5,76.796875
DW Steyn,98.86534341079796,37.80587783428693
E Lewis,106.74524761578954,40.02210089194081
EJG Morgan,116.45390995721304,42.75266217546616
ER Dwivedi,177.77777777777777,60.0
F Behardien,76.19047619047619,31.428571428571427
F du Plessis,116.22674042065908,42.688770743310364
FH Edwards,91.66666666666666,35.78125
