Source,Target,avgstr,normstr
A Flintoff,JA Morkel,170.83333333333334,40.75
A Flintoff,ML Hayden,118.18181818181819,31.272727272727273
A Flintoff,SK Raina,128.78787878787878,33.18181818181818
A Mukund,MS Gony,0.0,10.0
A Nehra,F du Plessis,200.0,46.0
A Nehra,MM Sharma,16.666666666666668,13.0
A Nehra,RG More,100.0,28.0
AS Rajpoot,DP Nannes,40.0,17.2
AS Rajpoot,MS Dhoni,110.00000000000001,29.800000000000004
AT Rayudu,DJ Bravo,250.0,55.0
AT Rayudu,DR Shorey,106.66666666666667,29.200000000000003
AT Rayudu,F du Plessis,77.12242338157544,23.88203620868358
AT Rayudu,KM Jadhav,68.29586184424893,22.293255131964806
AT Rayudu,M Vijay,134.6153846153846,34.230769230769226
AT Rayudu,MS Dhoni,143.8264341716036,35.88875815088865
AT Rayudu,N Jagadeesan,116.36363636363636,30.945454545454545
AT Rayudu,RA Jadeja,120.62933869199854,31.713280964559736
AT Rayudu,RD Gaikwad,147.95215311004785,36.63138755980861
AT Rayudu,SK Raina,112.35993559858743,30.224788407745738
AT Rayudu,SM Curran,75.0,23.5
AT Rayudu,SR Watson,117.25429121290342,31.105772418322616
AT Rayudu,SW Billings,90.15873015873017,26.228571428571428
B Laughlin,MS Dhoni,225.0,50.5
B Laughlin,RA Jadeja,138.88888888888889,35.0
BB McCullum,DJ Bravo,366.66666666666663,76.0
BB McCullum,DR Smith,118.15351275574399,31.267632296033916
BB McCullum,F du Plessis,148.92536255008332,36.806565259015
BB McCullum,MEK Hussey,33.33333333333333,15.999999999999998
BB McCullum,MS Dhoni,149.48512585812355,36.907322654462234
BB McCullum,P Negi,216.66666666666666,48.99999999999999
BB McCullum,RA Jadeja,90.37037037037037,26.266666666666666
BB McCullum,SK Raina,149.5902518950647,36.92624534111165
CH Morris,DJ Bravo,220.00000000000003,49.60000000000001
CH Morris,JA Morkel,90.0,26.2
CH Morris,MS Dhoni,141.66666666666666,35.5
CH Morris,RA Jadeja,141.66666666666666,35.5
CK Kapugedera,MS Dhoni,110.96491228070175,29.973684210526315
CK Kapugedera,S Badrinath,0.0,10.0
DE Bollinger,S Badrinath,179.1005291005291,42.238095238095234
DE Bollinger,SB Jakati,103.03030303030303,28.545454545454547
DJ Bravo,DL Chahar,87.5,25.75
DJ Bravo,DR Smith,152.94117647058823,37.529411764705884
DJ Bravo,F du Plessis,113.22688422688422,30.38083916083916
DJ Bravo,Harbhajan Singh,175.0,41.5
DJ Bravo,Imran Tahir,273.3333333333333,59.199999999999996
DJ Bravo,JA Morkel,181.6450849345586,42.69611528822055
