Source,Target,avgstr,normstr
A Ashish Reddy,AA Jhunjhunwala,80.0,34.0
A Ashish Reddy,DT Christian,185.71428571428572,65.71428571428572
A Ashish Reddy,DW Steyn,0.0,10.0
A Ashish Reddy,J Theron,150.0,55.0
A Ashish Reddy,JP Duminy,114.28571428571428,44.285714285714285
A Ashish Reddy,PA Patel,196.42857142857144,68.92857142857143
A Mishra,B Chipli,100.16025641025641,40.04807692307692
A Mishra,CL White,0.0,10.0
A Mishra,DB Ravi Teja,13.333333333333334,14.0
A Mishra,DT Christian,0.0,10.0
A Mishra,DW Steyn,149.10714285714286,54.73214285714286
A Mishra,I Sharma,135.41666666666666,50.62499999999999
A Mishra,J Theron,150.0,55.0
A Mishra,JP Duminy,102.5,40.75
A Mishra,S Dhawan,272.7272727272727,91.8181818181818
A Symonds,AC Gilchrist,54.347826086956516,26.304347826086953
A Symonds,AS Yadav,131.5686274509804,49.470588235294116
A Symonds,Anirudh Singh,133.33333333333331,49.99999999999999
A Symonds,B Sumanth,133.33333333333331,49.99999999999999
A Symonds,DB Ravi Teja,161.53846153846155,58.46153846153846
A Symonds,DR Smith,106.1111111111111,41.83333333333333
A Symonds,HH Gibbs,107.19495715130213,42.15848714539064
A Symonds,MD Mishra,96.62878787878788,38.98863636363636
A Symonds,MR Marsh,151.5151515151515,55.454545454545446
A Symonds,RG Sharma,103.01971674128231,40.90591502238469
A Symonds,SB Bangar,157.14285714285714,57.142857142857146
A Symonds,SB Styris,61.111111111111114,28.333333333333336
A Symonds,TL Suman,137.8140797428494,51.344223922854816
A Symonds,VVS Laxman,126.47058823529412,47.94117647058823
A Symonds,Y Venugopal Rao,118.74376869391824,45.62313060817547
AA Bilakhia,AC Gilchrist,88.56589147286822,36.56976744186046
AA Bilakhia,HH Gibbs,128.57142857142858,48.57142857142858
AA Bilakhia,RG Sharma,100.83333333333333,40.25
AA Bilakhia,RJ Harris,181.8181818181818,64.54545454545455
AA Bilakhia,TL Suman,50.0,25.0
AA Jhunjhunwala,B Chipli,87.5,36.25
AA Jhunjhunwala,DT Christian,100.0,40.0
AA Jhunjhunwala,PA Reddy,134.375,50.3125
AC Gilchrist,DB Ravi Teja,148.125,54.4375
AC Gilchrist,HH Gibbs,118.4071501415073,45.522145042452195
AC Gilchrist,MD Mishra,87.62079190650618,36.28623757195186
AC Gilchrist,RG Sharma,113.60965533379327,44.08289660013798
AC Gilchrist,SB Styris,103.66300366300368,41.0989010989011
AC Gilchrist,Shahid Afridi,113.88888888888889,44.166666666666664
AC Gilchrist,TL Suman,124.32775119617224,47.29832535885167
AC Gilchrist,VVS Laxman,129.2081253965804,48.762437618974126
AC Gilchrist,Y Venugopal Rao,83.15217391304347,34.94565217391304
AS Yadav,RG Sharma,273.3333333333333,92.0
AS Yadav,RP Singh,50.0,25.0
AS Yadav,SB Bangar,95.45454545454545,38.63636363636364
AS Yadav,Shahid Afridi,0.0,10.0
AS Yadav,WPUJC Vaas,75.0,32.5
AS Yadav,Y Venugopal Rao,216.66666666666666,75.0
Anirudh Singh,DR Smith,61.53846153846154,28.46153846153846
Anirudh Singh,MD Mishra,0.0,10.0
Anirudh Singh,RG Sharma,96.35364635364635,38.90609390609391
Anirudh Singh,TL Suman,130.0,49.0
Anirudh Singh,Y Venugopal Rao,102.38095238095238,40.714285714285715
Ankit Sharma,B Chipli,100.0,40.0
Ankit Sharma,CL White,66.66666666666666,29.999999999999996
Ankit Sharma,DW Steyn,133.33333333333331,49.99999999999999
Ankit Sharma,JP Duminy,80.0,34.0
Ankit Sharma,TP Sudhindra,0.0,10.0
B Chipli,CL White,141.66666666666666,52.5
B Chipli,DT Christian,105.9090909090909,41.77272727272727
B Chipli,I Sharma,100.0,40.0
B Chipli,IR Jaggi,86.66666666666667,36.0
B Chipli,JP Duminy,117.8138528138528,45.34415584415584
B Chipli,KC Sangakkara,112.40896358543418,43.72268907563025
B Chipli,S Dhawan,60.477777777777774,28.14333333333333
B Chipli,S Sohal,166.66666666666669,60.0
B Sumanth,Harmeet Singh,0.0,10.0
B Sumanth,MR Marsh,55.55555555555556,26.666666666666668
B Sumanth,R Sharma,141.66666666666669,52.50000000000001
B Sumanth,RG Sharma,240.0,82.0
B Sumanth,RJ Harris,156.8181818181818,57.04545454545455
B Sumanth,WPUJC Vaas,58.333333333333336,27.5
BB Samantray,JP Duminy,120.0,46.0
CA Lynn,JP Duminy,73.68421052631578,32.10526315789473
CL White,DJ Harris,118.18181818181819,45.45454545454546
CL White,DT Christian,150.63316993464053,55.18995098039216
CL White,DW Steyn,150.0,55.0
CL White,JP Duminy,105.18796992481202,41.556390977443606
CL White,KC Sangakkara,93.62744409045477,38.08823322713643
CL White,PA Patel,109.83333333333333,42.95
CL White,PA Reddy,100.0,40.0
CL White,S Dhawan,127.07555750539044,48.12266725161713
CL White,S Sohal,143.75,53.125
D Kalyankrishna,RG Sharma,194.44444444444443,68.33333333333334
DB Ravi Teja,Ankit Sharma,0.0,10.0
DB Ravi Teja,CL White,200.0,70.0
DB Ravi Teja,DNT Zoysa,300.0,100.0
DB Ravi Teja,DR Smith,128.57142857142858,48.57142857142858
DB Ravi Teja,DT Christian,153.02248677248676,55.90674603174603
DB Ravi Teja,DW Steyn,136.66666666666666,51.0
DB Ravi Teja,FH Edwards,108.33333333333334,42.50000000000001
DB Ravi Teja,KC Sangakkara,100.0,40.0
DB Ravi Teja,MS Gony,75.0,32.5
DB Ravi Teja,PP Ojha,125.0,47.5
DB Ravi Teja,RG Sharma,51.66666666666667,25.5
DB Ravi Teja,RJ Harris,160.0,58.0
DB Ravi Teja,RP Singh,154.44444444444446,56.333333333333336
DB Ravi Teja,S Dhawan,134.39400466893508,50.31820140068053
DB Ravi Teja,SB Bangar,0.0,10.0
DB Ravi Teja,Y Venugopal Rao,162.96052822838539,58.88815846851561
DJ Harris,PA Patel,110.5263157894737,43.15789473684211
DJ Harris,S Dhawan,105.94688818590566,41.7840664557717
DNT Zoysa,H Das,112.5,43.75
DNT Zoysa,RG Sharma,175.0,62.5
DNT Zoysa,RP Singh,114.28571428571428,44.285714285714285
DP Vijaykumar,PM Sarvesh Kumar,66.66666666666666,29.999999999999996
DR Smith,HH Gibbs,162.43243243243245,58.72972972972973
DR Smith,RG Sharma,129.86486486486487,48.95945945945946
DR Smith,TL Suman,120.3921568627451,46.11764705882353
DR Smith,WPUJC Vaas,127.58620689655173,48.27586206896552
DR Smith,Y Venugopal Rao,136.8421052631579,51.05263157894736
DT Christian,I Malhotra,140.0,52.0
DT Christian,JP Duminy,117.83314827432474,45.34994448229742
DT Christian,KC Sangakkara,68.62745098039215,30.588235294117645
DT Christian,MS Gony,158.33333333333331,57.49999999999999
DT Christian,PA Patel,131.57894736842107,49.473684210526315
