Source,Target,avgstr,normstr
A Mishra,I Sharma,241.66666666666669,64.375
A Mishra,J Suchith,35.0,17.875
A Mishra,K Rabada,120.0,37.0
A Mishra,KMA Paul,50.0,21.25
A Mishra,RR Pant,120.0,37.0
A Mishra,TA Boult,178.33333333333334,50.125
A Nortje,K Rabada,222.2222222222222,59.99999999999999
A Nortje,TU Deshpande,100.0,32.5
AM Rahane,MP Stoinis,118.18181818181819,36.59090909090909
AM Rahane,RR Pant,62.5,24.0625
AM Rahane,S Dhawan,66.36601170568562,24.932352633779267
AM Rahane,SO Hetmyer,153.84615384615387,44.61538461538462
AM Rahane,SS Iyer,100.0,32.5
AR Patel,AT Carey,100.0,32.5
AR Patel,CH Morris,105.90111642743221,33.827751196172244
AR Patel,HV Patel,213.33333333333334,58.0
AR Patel,I Sharma,350.0,88.75
AR Patel,K Rabada,84.48412698412699,29.008928571428573
AR Patel,KMA Paul,95.0,31.375
AR Patel,MP Stoinis,119.86451048951048,36.96951486013985
AR Patel,R Ashwin,200.0,55.0
AR Patel,R Tewatia,142.15686274509807,41.985294117647065
AR Patel,RR Pant,120.54473304473304,37.12256493506493
AR Patel,S Dhawan,158.33333333333331,45.62499999999999
AR Patel,SE Rutherford,242.10526315789474,64.47368421052632
AR Patel,SS Iyer,97.91666666666667,32.03125
AT Carey,MP Stoinis,116.66666666666667,36.25
AT Carey,S Dhawan,149.52380952380952,43.642857142857146
Avesh Khan,K Rabada,100.0,32.5
C Munro,PP Shaw,76.92307692307693,27.30769230769231
C Munro,RR Pant,126.3157894736842,38.421052631578945
C Munro,S Dhawan,97.05882352941177,31.83823529411765
C Munro,SS Iyer,97.59168035030103,31.958128078817733
CA Ingram,GH Vihari,92.5,30.8125
CA Ingram,HV Patel,100.0,32.5
CA Ingram,PP Shaw,80.0,28.0
CA Ingram,RR Pant,145.22632388486048,42.67592287409361
CA Ingram,S Dhawan,142.73809523809524,42.11607142857143
CA Ingram,SE Rutherford,150.0,43.75
CA Ingram,SS Iyer,84.84616427216048,29.090386961236106
CH Morris,CA Ingram,0.0,10.0
CH Morris,RR Pant,33.33333333333333,17.5
CH Morris,SS Iyer,68.75,25.46875
DR Sams,AR Patel,0.0,10.0
GH Vihari,K Rabada,0.0,10.0
HV Patel,GH Vihari,33.33333333333333,17.5
HV Patel,K Rabada,50.0,21.25
HV Patel,SO Hetmyer,131.9047619047619,39.67857142857143
J Suchith,SS Iyer,50.0,21.25
K Rabada,P Dubey,127.27272727272727,38.63636363636364
K Rabada,R Ashwin,80.55555555555556,28.125
K Rabada,RR Pant,100.0,32.5
KMA Paul,RR Pant,169.04428904428906,48.03496503496504
KMA Paul,S Dhawan,20.0,14.5
KMA Paul,TA Boult,400.0,100.0
MP Stoinis,K Rabada,385.7142857142857,96.78571428571429
MP Stoinis,R Ashwin,172.22222222222223,48.75
MP Stoinis,RR Pant,153.27966596051706,44.48792484111634
MP Stoinis,S Dhawan,128.95128205128205,39.01403846153846
MP Stoinis,SO Hetmyer,145.0,42.625
MP Stoinis,SS Iyer,112.40740740740742,35.29166666666667
P Dubey,R Ashwin,105.88235294117648,33.82352941176471
PP Shaw,RR Pant,123.57142857142858,37.80357142857143
PP Shaw,S Dhawan,104.91881027150056,33.606732311087626
PP Shaw,SO Hetmyer,27.27272727272727,16.136363636363637
PP Shaw,SS Iyer,109.42397414899739,34.62039418352441
R Ashwin,A Nortje,0.0,10.0
R Ashwin,SO Hetmyer,62.5,24.0625
R Ashwin,TU Deshpande,125.0,38.125
R Tewatia,RR Pant,282.3529411764706,73.52941176470588
R Tewatia,SS Iyer,90.0,30.25
RR Pant,R Ashwin,0.0,10.0
RR Pant,S Dhawan,130.748797166789,39.41847936252752
RR Pant,SE Rutherford,172.58914331282753,48.8325572453862
RR Pant,SO Hetmyer,154.62962962962965,44.79166666666667
RR Pant,SS Iyer,119.27979249470478,36.837953311308574
S Dhawan,SO Hetmyer,166.32183908045977,47.422413793103445
S Dhawan,SS Iyer,119.12410294007717,36.802923161517356
S Lamichhane,Avesh Khan,0.0,10.0
SE Rutherford,SS Iyer,108.33333333333334,34.375
SO Hetmyer,SS Iyer,141.84523809523807,41.91517857142857
SS Iyer,K Rabada,175.0,49.375
