Source,Target,avgstr,normstr
A Mishra,A Nehra,120.83333333333334,28.125
A Mishra,AB McDonald,83.87096774193549,22.580645161290324
A Mishra,AD Mathews,25.0,13.75
A Mishra,CH Morris,86.66666666666667,23.0
A Mishra,DL Vettori,136.36363636363635,30.45454545454545
A Mishra,JA Morkel,85.71428571428571,22.857142857142854
A Mishra,K Rabada,29.166666666666664,14.375
A Mishra,KD Karthik,216.36363636363637,42.45454545454545
A Mishra,KK Nair,169.23076923076923,35.38461538461539
A Mishra,KM Jadhav,162.5,34.375
A Mishra,M Manhas,132.34126984126985,29.851190476190478
A Mishra,MF Maharoof,158.6206896551724,33.793103448275865
A Mishra,Mohammed Shami,173.33333333333331,36.0
A Mishra,NM Coulter-Nile,53.333333333333336,18.0
A Mishra,PD Collingwood,93.33333333333333,24.0
A Mishra,PJ Sangwan,40.909090909090914,16.136363636363637
A Mishra,R Bhatia,33.33333333333333,15.0
A Mishra,RR Pant,116.17647058823529,27.426470588235293
A Mishra,S Nadeem,66.66666666666667,20.0
A Mishra,SS Iyer,150.0,32.5
A Mishra,SS Tiwary,200.0,40.0
A Mishra,TM Dilshan,72.1590909090909,20.823863636363633
A Mishra,VY Mahesh,50.0,17.5
A Mishra,Y Nagar,0.0,10.0
A Mishra,Z Khan,73.68421052631578,21.052631578947366
A Nehra,M Morkel,155.55555555555557,33.333333333333336
A Nehra,PD Collingwood,160.0,34.0
A Nehra,PJ Sangwan,133.33333333333331,29.999999999999996
A Nehra,S Nadeem,60.0,19.0
A Nehra,UT Yadav,16.666666666666664,12.5
AB Agarkar,IK Pathan,192.55952380952382,38.88392857142857
AB Agarkar,KM Jadhav,55.55555555555556,18.333333333333336
AB Agarkar,M Morkel,138.46153846153845,30.769230769230766
AB Dinda,RE van der Merwe,71.42857142857143,20.714285714285715
AB McDonald,IK Pathan,176.9230769230769,36.53846153846153
AB McDonald,KD Karthik,116.82539682539682,27.523809523809522
AB McDonald,KM Jadhav,181.4814814814815,37.22222222222222
AB McDonald,PJ Sangwan,133.33333333333331,29.999999999999996
AB de Villiers,DA Warner,84.13078149920256,22.619617224880386
AB de Villiers,DL Vettori,107.14285714285714,26.071428571428573
AB de Villiers,G Gambhir,92.12590371334004,23.818885557001007
AB de Villiers,KD Karthik,121.81729994578292,28.272594991867436
AB de Villiers,KM Jadhav,117.85714285714286,27.678571428571427
AB de Villiers,MF Maharoof,50.0,17.5
AB de Villiers,MK Tiwary,160.71428571428572,34.10714285714286
AB de Villiers,R Bhatia,69.23076923076923,20.384615384615383
AB de Villiers,S Dhawan,83.92857142857143,22.589285714285715
AB de Villiers,TM Dilshan,103.62003312317778,25.543004968476666
AB de Villiers,V Sehwag,117.45561594202898,27.61834239130435
