Source,Target,avgstr,normstr
AD Nath,AJ Finch,104.2490118577075,50.65711462450593
AD Nath,DW Steyn,0.0,10.0
AD Nath,KD Karthik,0.0,10.0
AD Nath,SK Raina,106.66666666666667,51.60000000000001
AJ Finch,BB McCullum,96.44295762716816,47.612753474595586
AJ Finch,DJ Bravo,70.0,37.3
AJ Finch,DR Smith,25.0,19.75
AJ Finch,DS Kulkarni,150.0,68.5
AJ Finch,Ishan Kishan,63.742690058479525,34.859649122807014
AJ Finch,JP Faulkner,157.14285714285714,71.28571428571428
AJ Finch,KD Karthik,150.28361344537817,68.6106092436975
AJ Finch,P Kumar,67.27272727272727,36.236363636363635
AJ Finch,PV Tambe,76.92307692307693,40.00000000000001
AJ Finch,RA Jadeja,110.32723434201266,53.02762139338494
AJ Finch,SK Raina,143.20700766441132,65.85073298912042
AJ Tye,Basil Thampi,50.0,29.500000000000004
AJ Tye,Ishan Kishan,200.0,88.00000000000001
AJ Tye,JP Faulkner,204.76190476190476,89.85714285714286
AJ Tye,KD Karthik,166.66666666666669,75.00000000000001
Ankit Soni,Basil Thampi,75.0,39.25
Ankit Soni,RA Jadeja,91.66666666666666,45.75
BB McCullum,DR Smith,91.73828364965198,45.77793062336428
BB McCullum,ER Dwivedi,100.0,49.00000000000001
BB McCullum,Ishan Kishan,133.19444444444446,61.94583333333334
BB McCullum,JJ Roy,115.3448275862069,54.9844827586207
BB McCullum,KD Karthik,82.06885026737967,42.006851604278076
BB McCullum,RA Jadeja,144.13875598086122,66.21411483253588
BB McCullum,SK Raina,141.39010687055014,65.14214167951457
Basil Thampi,KD Karthik,113.43873517786561,54.24110671936759
Basil Thampi,P Kumar,142.85714285714286,65.71428571428572
DJ Bravo,DR Smith,200.0,88.00000000000001
DJ Bravo,ER Dwivedi,230.76923076923075,100.0
DJ Bravo,JP Faulkner,150.0,68.5
DJ Bravo,KD Karthik,206.66666666666666,90.60000000000001
DJ Bravo,P Kumar,0.0,10.0
DJ Bravo,RA Jadeja,148.21428571428572,67.80357142857143
DJ Bravo,SK Raina,115.72199730094466,55.131578947368425
DR Smith,Ishan Kishan,142.61031366294523,65.61802232854865
DR Smith,KD Karthik,103.33160800552106,50.299327122153215
DR Smith,RA Jadeja,122.85714285714285,57.91428571428572
DR Smith,SK Raina,162.61904761904765,73.42142857142859
DS Kulkarni,KD Karthik,25.0,19.75
DS Kulkarni,P Kumar,116.66666666666666,55.5
DS Kulkarni,RA Jadeja,133.33333333333331,61.99999999999999
DS Kulkarni,S Kaushik,150.0,68.5
DS Kulkarni,SB Jakati,66.66666666666666,36.0
DW Steyn,P Kumar,66.66666666666666,36.0
IK Pathan,JP Faulkner,50.0,29.500000000000004
Ishan Kishan,JP Faulkner,51.78571428571429,30.196428571428577
Ishan Kishan,KD Karthik,144.84249084249083,66.48857142857143
Ishan Kishan,RA Jadeja,142.74853801169593,65.67192982456142
Ishan Kishan,SK Raina,136.8522102897103,63.372362012987026
JJ Roy,KD Karthik,153.33333333333334,69.80000000000001
JJ Roy,SK Raina,66.66666666666666,36.0
JP Faulkner,Basil Thampi,0.0,10.0
JP Faulkner,DS Kulkarni,0.0,10.0
JP Faulkner,KD Karthik,78.57142857142857,40.64285714285714
JP Faulkner,P Kumar,153.0,69.67
JP Faulkner,RA Jadeja,131.94989106753812,61.460457516339865
JP Faulkner,SK Raina,185.71428571428572,82.42857142857144
KD Karthik,PJ Sangwan,66.66666666666666,36.0
KD Karthik,RA Jadeja,115.36424394319131,54.992055137844616
KD Karthik,SK Raina,108.73660525819132,52.40727605069462
MM Patel,RA Jadeja,0.0,10.0
P Kumar,RA Jadeja,50.0,29.500000000000004
PJ Sangwan,RA Jadeja,160.0,72.4
RA Jadeja,SK Raina,120.90420332355816,57.15263929618769
S Kaushik,PV Tambe,0.0,10.0
