Source,Target,avgstr,normstr
AB Barath,DPMD Jayawardene,151.85185185185185,37.33333333333333
AB Barath,KC Sangakkara,131.42857142857142,33.65714285714286
AB Barath,RS Bopara,73.33333333333333,23.2
AB Barath,Yuvraj Singh,40.0,17.2
AC Gilchrist,Azhar Mahmood,121.26068376068376,31.826923076923077
AC Gilchrist,DA Miller,222.22222222222223,50.0
AC Gilchrist,DJ Hussey,116.66666666666667,31.0
AC Gilchrist,KD Karthik,81.72348484848484,24.710227272727273
AC Gilchrist,LA Pomersbach,0.0,10.0
AC Gilchrist,M Vohra,110.00000000000001,29.800000000000004
AC Gilchrist,Mandeep Singh,86.95361582023688,25.651650847642635
AC Gilchrist,N Saini,44.44444444444444,18.0
AC Gilchrist,PC Valthaty,98.86068435097546,27.794923183175584
AC Gilchrist,PP Chawla,123.52941176470588,32.23529411764706
AC Gilchrist,R Sathish,175.0,41.5
AC Gilchrist,SD Chitnis,155.17241379310346,37.93103448275862
AC Gilchrist,SE Marsh,124.03248251341662,32.325846852415
AD Mascarenhas,Bipul Sharma,63.88888888888889,21.5
AD Mascarenhas,P Dogra,93.33333333333333,26.799999999999997
AD Mascarenhas,P Kumar,72.72727272727273,23.090909090909093
AD Nath,KL Rahul,81.25,24.625
AJ Finch,AR Patel,113.15789473684211,30.36842105263158
AJ Finch,CH Gayle,178.57142857142858,42.142857142857146
AJ Finch,KK Nair,27.77777777777778,15.0
AJ Finch,KL Rahul,104.38672438672438,28.789610389610388
AJ Finch,MA Agarwal,84.61538461538461,25.230769230769234
AJ Finch,MK Tiwary,150.0,37.0
AJ Finch,MP Stoinis,100.0,28.0
AJ Finch,R Ashwin,185.0,43.3
AJ Finch,Yuvraj Singh,0.0,10.0
AJ Tye,AR Patel,25.0,14.5
AJ Tye,BB Sran,80.0,24.4
AJ Tye,KK Nair,50.0,19.0
AJ Tye,KL Rahul,266.66666666666663,57.999999999999986
AJ Tye,R Ashwin,155.82264957264957,38.04807692307692
AJ Tye,SM Curran,290.90909090909093,62.363636363636374
AM Nayar,DJ Hussey,108.33333333333333,29.499999999999996
AM Nayar,Gurkeerat Singh,170.0,40.6
AM Nayar,KD Karthik,83.33333333333333,25.0
AM Nayar,Mandeep Singh,102.49999999999999,28.449999999999996
AM Nayar,P Kumar,91.66666666666666,26.5
AM Nayar,PC Valthaty,55.555555555555564,20.0
AM Nayar,PP Chawla,133.33333333333331,33.99999999999999
AM Nayar,R McLaren,51.45833333333333,19.2625
AM Nayar,RJ Harris,100.0,28.0
AM Nayar,SE Marsh,144.09722222222223,35.9375
AM Nayar,Sunny Singh,151.11111111111111,37.2
