Source,Target,avgstr,normstr
B Akhil,RA Jadeja,123.07692307692308,40.209790209790214
BB McCullum,BJ Hodge,82.6086956521739,30.276679841897234
BB McCullum,DPMD Jayawardene,125.35127322047754,40.768039790480856
BB McCullum,M Klinger,108.44845513963162,36.61916626154594
BB McCullum,PA Patel,158.47461097461098,48.89831360285906
BB McCullum,RA Jadeja,133.33333333333331,42.72727272727273
BB McCullum,VVS Laxman,72.72727272727273,27.851239669421492
BB McCullum,Y Gnaneswara Rao,121.42857142857142,39.8051948051948
BJ Hodge,DPMD Jayawardene,87.83640552995391,31.559844993715963
BJ Hodge,KM Jadhav,100.0,34.54545454545455
BJ Hodge,OA Shah,244.44444444444446,70.0
BJ Hodge,PA Patel,106.65544133286069,36.17906287261127
BJ Hodge,RA Jadeja,150.04196923524654,46.828483357742336
BJ Hodge,RV Gomez,366.66666666666663,100.0
DPMD Jayawardene,KM Jadhav,50.0,22.272727272727273
DPMD Jayawardene,M Klinger,127.49999999999999,41.29545454545455
DPMD Jayawardene,OA Shah,163.63636363636365,50.165289256198356
DPMD Jayawardene,PA Patel,53.016555812608445,23.01315460854935
DPMD Jayawardene,RA Jadeja,96.91358024691358,33.78787878787879
DPMD Jayawardene,RV Gomez,66.66666666666666,26.363636363636363
DPMD Jayawardene,VVS Laxman,118.18181818181819,39.00826446280992
KM Jadhav,M Muralitharan,76.92307692307693,28.881118881118887
KM Jadhav,NLTC Perera,40.0,19.81818181818182
KM Jadhav,R Vinay Kumar,120.0,39.45454545454546
KM Jadhav,RA Jadeja,184.21052631578948,55.215311004784695
M Klinger,PA Patel,97.47474747474747,33.925619834710744
NLTC Perera,RA Jadeja,83.72093023255815,30.549682875264274
NLTC Perera,RV Gomez,0.0,10.0
P Parameswaran,RR Powar,150.0,46.81818181818182
PA Patel,RA Jadeja,97.18357883251501,33.85415116798096
PA Patel,RV Gomez,0.0,10.0
PA Patel,VVS Laxman,84.61538461538461,30.76923076923077
R Vinay Kumar,DPMD Jayawardene,100.0,34.54545454545455
R Vinay Kumar,RA Jadeja,118.47222222222223,39.07954545454546
R Vinay Kumar,RP Singh,50.0,22.272727272727273
R Vinay Kumar,RV Gomez,101.11111111111111,34.81818181818183
R Vinay Kumar,S Sreesanth,12.5,13.068181818181818
RA Jadeja,RR Powar,116.66666666666667,38.63636363636364
RA Jadeja,RV Gomez,78.95833333333334,29.380681818181824
RP Singh,M Muralitharan,100.0,34.54545454545455
RP Singh,RV Gomez,100.0,34.54545454545455
RP Singh,S Sreesanth,0.0,10.0
RR Powar,R Vinay Kumar,0.0,10.0
RR Powar,RP Singh,0.0,10.0
RR Powar,RV Gomez,62.5,25.340909090909093
RV Gomez,S Sreesanth,166.66666666666669,50.90909090909092
