Source,Target,avgstr,normstr
A Chopra,BJ Hodge,59.41558441558442,20.6948051948052
A Chopra,SC Ganguly,65.64971751412429,21.81694915254237
A Chopra,Salman Butt,91.31803868645973,26.43724696356275
AB Agarkar,AD Mathews,125.0,32.5
AB Agarkar,BAW Mendis,125.0,32.5
AB Agarkar,CA Pujara,180.0,42.4
AB Agarkar,Iqbal Abdulla,200.0,46.0
AB Agarkar,LR Shukla,114.70143613000755,30.64625850340136
AB Agarkar,M Kartik,176.08695652173913,41.69565217391304
AB Agarkar,MC Henriques,50.0,19.0
AB Agarkar,MN van Wyk,140.0,35.2
AB Agarkar,SC Ganguly,105.56835637480799,29.002304147465438
AB Agarkar,Shoaib Akhtar,71.42857142857143,22.857142857142854
AB Agarkar,WP Saha,197.34989648033127,45.52298136645963
AB Dinda,AB Agarkar,0.0,10.0
AB Dinda,I Sharma,91.66666666666667,26.5
AB Dinda,M Kartik,100.0,28.0
AB Dinda,Shoaib Akhtar,40.0,17.2
AD Mathews,BB McCullum,102.6923076923077,28.484615384615385
AD Mathews,CH Gayle,75.0,23.5
AD Mathews,DJ Hussey,147.5,36.55
AD Mathews,LR Shukla,133.2579185520362,33.98642533936652
AD Mathews,MK Tiwary,139.90996925779535,35.183794466403164
AD Mathews,OA Shah,69.89247311827957,22.58064516129032
AD Mathews,SC Ganguly,69.23076923076923,22.46153846153846
AD Mathews,WP Saha,105.84415584415584,29.051948051948052
AD Russell,CA Lynn,85.55555555555556,25.4
AD Russell,CR Brathwaite,205.26315789473685,46.94736842105263
AD Russell,EJG Morgan,120.33730158730158,31.660714285714285
AD Russell,G Gambhir,129.19254658385094,33.254658385093165
AD Russell,HF Gurney,131.8181818181818,33.72727272727273
AD Russell,J Botha,209.0909090909091,47.63636363636364
AD Russell,JPR Scantlebury-Searles,170.58823529411765,40.705882352941174
AD Russell,KD Karthik,161.35656021319016,39.04418083837423
AD Russell,M Prasidh Krishna,50.0,19.0
AD Russell,MK Pandey,85.18518518518519,25.333333333333336
AD Russell,N Rana,153.9208913029668,37.70576043453403
AD Russell,PP Chawla,177.2159090909091,41.898863636363636
AD Russell,R Sathish,153.84615384615387,37.69230769230769
AD Russell,RA Tripathi,153.125,37.5625
AD Russell,RN ten Doeschate,163.63636363636363,39.45454545454545
