Source,Target,avgstr,normstr
A Nehra,AB Dinda,62.5,24.0625
A Nehra,M Kartik,108.33333333333333,34.375
A Nehra,R Sharma,66.66666666666666,24.999999999999996
AA Jhunjhunwala,CJ Ferguson,33.33333333333333,17.5
AA Jhunjhunwala,MK Pandey,90.625,30.390625
AB Dinda,AD Mathews,0.0,10.0
AB Dinda,B Kumar,100.0,32.5
AB Dinda,BAW Mendis,75.0,26.875
AB Dinda,M Manhas,100.0,32.5
AB Dinda,MK Pandey,0.0,10.0
AB Dinda,R Sharma,125.0,38.125
AC Thomas,M Kartik,75.0,26.875
AC Thomas,M Manhas,181.25,50.78125
AC Thomas,R Sharma,0.0,10.0
AC Thomas,SPD Smith,111.11111111111111,35.0
AD Mathews,AP Majumdar,70.58823529411765,25.88235294117647
AD Mathews,B Kumar,111.97802197802199,35.19505494505495
AD Mathews,LJ Wright,182.05128205128204,50.96153846153846
AD Mathews,LRPL Taylor,91.66666666666667,30.625
AD Mathews,M Kartik,66.66666666666666,24.999999999999996
AD Mathews,M Manhas,150.0,43.75
AD Mathews,M Rawat,130.76923076923077,39.42307692307692
AD Mathews,MK Pandey,100.0,32.5
AD Mathews,MN Samuels,50.0,21.25
AD Mathews,MR Marsh,129.7046783625731,39.18355263157895
AD Mathews,RV Gomez,250.0,66.25
AD Mathews,RV Uthappa,123.7175678352149,37.83645276292336
AD Mathews,SC Ganguly,125.86206896551724,38.31896551724138
AD Mathews,SPD Smith,129.9679487179487,39.24278846153845
AD Mathews,WD Parnell,60.0,23.5
AD Mathews,Yuvraj Singh,95.27777777777777,31.4375
AG Murtaza,B Kumar,55.55555555555556,22.5
AG Murtaza,M Manhas,125.0,38.125
AJ Finch,LRPL Taylor,104.54545454545455,33.52272727272727
AJ Finch,MK Pandey,131.7829457364341,39.65116279069767
AJ Finch,RV Uthappa,109.54536185995961,34.64770641849091
AJ Finch,TL Suman,0.0,10.0
AJ Finch,Yuvraj Singh,103.31426452672281,33.24570951851263
AM Nayar,AD Mathews,0.0,10.0
AM Nayar,B Kumar,78.94736842105263,27.763157894736842
AM Nayar,KW Richardson,63.63636363636363,24.31818181818182
AM Nayar,LRPL Taylor,96.82539682539684,31.78571428571429
AM Nayar,MR Marsh,151.02941176470588,43.981617647058826
AM Nayar,Parvez Rasool,83.33333333333334,28.750000000000004
AM Nayar,R Sharma,150.0,43.75
AM Nayar,RV Uthappa,150.0,43.75
AM Nayar,SPD Smith,65.0,24.625
AP Majumdar,CJ Ferguson,85.58467741935485,29.25655241935484
AP Majumdar,RV Uthappa,135.2813852813853,40.438311688311686
AP Majumdar,SC Ganguly,75.0,26.875
AP Majumdar,SPD Smith,100.0,32.5
B Kumar,BAW Mendis,60.0,23.5
B Kumar,KW Richardson,96.29629629629629,31.666666666666664
B Kumar,M Kartik,158.33333333333334,45.625
B Kumar,M Manhas,188.90151515151513,52.5028409090909
B Kumar,MK Pandey,50.0,21.25
B Kumar,MR Marsh,100.0,32.5
B Kumar,Parvez Rasool,66.66666666666666,24.999999999999996
B Kumar,R Sharma,97.5,31.9375
