Source,Target,avgstr,normstr
A Chandila,DH Yagnik,66.66666666666666,29.999999999999996
A Chandila,OA Shah,0.0,10.0
A Chandila,S Sreesanth,25.0,17.5
A Chandila,SK Trivedi,55.55555555555556,26.666666666666668
A Singh,GB Hogg,33.33333333333333,20.0
A Singh,J Botha,50.0,25.0
A Singh,MM Patel,66.66666666666666,29.999999999999996
A Singh,SK Trivedi,0.0,10.0
A Singh,SK Warne,12.5,13.75
A Uniyal,AA Jhunjhunwala,144.44444444444443,53.33333333333333
A Uniyal,AD Mascarenhas,0.0,10.0
AA Chavan,AL Menaria,125.0,47.5
AA Chavan,GB Hogg,0.0,10.0
AA Chavan,SP Goswami,118.18181818181819,45.45454545454546
AA Jhunjhunwala,AC Voges,174.1384615384615,62.241538461538454
AA Jhunjhunwala,AD Mascarenhas,100.0,40.0
AA Jhunjhunwala,DR Martyn,77.77777777777779,33.333333333333336
AA Jhunjhunwala,FY Fazal,104.54545454545455,41.36363636363637
AA Jhunjhunwala,GC Smith,25.833333333333336,17.75
AA Jhunjhunwala,NV Ojha,177.52100840336132,63.256302521008394
AA Jhunjhunwala,P Dogra,158.8235294117647,57.64705882352941
AA Jhunjhunwala,S Narwal,0.0,10.0
AA Jhunjhunwala,SR Watson,113.0952380952381,43.92857142857143
AA Jhunjhunwala,YK Pathan,106.93277310924368,42.079831932773104
AC Voges,AJ Finch,126.3157894736842,47.89473684210526
AC Voges,AS Raut,95.73170731707317,38.71951219512195
AC Voges,FY Fazal,162.16216216216216,58.64864864864865
AC Voges,MM Patel,220.00000000000003,76.0
AC Voges,NV Ojha,131.0344827586207,49.310344827586206
AC Voges,P Dogra,96.15384615384615,38.84615384615384
AC Voges,SK Warne,60.0,28.0
AC Voges,YK Pathan,135.5185185185185,50.65555555555555
AD Mascarenhas,AS Raut,108.33333333333333,42.5
AD Mascarenhas,P Dogra,215.3846153846154,74.61538461538461
AD Mascarenhas,RA Jadeja,93.33333333333334,38.0
AD Mascarenhas,SK Warne,140.0,52.0
AD Mascarenhas,SR Watson,133.33333333333331,49.99999999999999
AD Mascarenhas,YK Pathan,100.0,40.0
AG Paunikar,FY Fazal,66.66666666666666,29.999999999999996
