Source,Target,avgstr,normstr
A Zampa,AB Dinda,77.77777777777779,42.66666666666667
A Zampa,DL Chahar,100.0,52.0
AB Dinda,Imran Tahir,25.0,20.5
AM Rahane,MA Agarwal,105.0,54.1
AM Rahane,MK Tiwary,123.07692307692308,61.6923076923077
AM Rahane,RA Tripathi,88.73141524323866,47.267194402160236
AM Rahane,SPD Smith,105.5411938391571,54.32730141244598
Ankit Sharma,MK Tiwary,151.61290322580646,73.67741935483872
BA Stokes,DT Christian,136.36363636363637,67.27272727272728
BA Stokes,F du Plessis,60.0,35.2
BA Stokes,MK Tiwary,108.4775641025641,55.56057692307692
BA Stokes,MS Dhoni,98.41041998936734,51.33237639553429
BA Stokes,RA Tripathi,133.35483870967744,66.00903225806454
BA Stokes,SPD Smith,100.77922077922076,52.32727272727273
DL Chahar,R Bhatia,214.28571428571428,100.0
DT Christian,MK Tiwary,145.7142857142857,71.19999999999999
DT Christian,MS Dhoni,200.0,94.0
DT Christian,RA Tripathi,73.33333333333333,40.8
DT Christian,SPD Smith,106.66666666666667,54.800000000000004
DT Christian,Washington Sundar,155.55555555555557,75.33333333333334
F du Plessis,MA Agarwal,90.9090909090909,48.18181818181818
F du Plessis,RA Tripathi,214.28571428571428,100.0
JD Unadkat,MK Tiwary,182.35294117647058,86.58823529411764
LH Ferguson,RD Chahar,133.33333333333331,66.0
MK Tiwary,MS Dhoni,149.1287878787879,72.63409090909093
MK Tiwary,R Bhatia,100.0,52.0
MK Tiwary,RA Tripathi,94.04761904761905,49.50000000000001
MK Tiwary,SN Thakur,0.0,10.0
MK Tiwary,SPD Smith,118.95517676767676,59.96117424242424
MK Tiwary,Washington Sundar,209.0909090909091,97.81818181818183
MS Dhoni,R Bhatia,100.0,52.0
MS Dhoni,RA Tripathi,64.28571428571428,37.0
MS Dhoni,SPD Smith,114.17904520906592,57.955198987807684
MS Dhoni,Washington Sundar,166.66666666666669,80.00000000000001
RA Tripathi,SPD Smith,167.25342331883667,80.24643779391141
SN Thakur,LH Ferguson,0.0,10.0
SN Thakur,Washington Sundar,0.0,10.0
Washington Sundar,JD Unadkat,50.0,31.0
