Source,Target,avgstr,normstr
A Zampa,R Bhatia,0.0,10.0
AM Rahane,F du Plessis,90.02013881396772,38.74836691155743
AM Rahane,GJ Bailey,48.91304347826087,25.620617110799436
AM Rahane,JA Morkel,142.85714285714286,55.622119815668206
AM Rahane,KP Pietersen,80.0,35.54838709677419
AM Rahane,MS Dhoni,123.47474747474747,49.432258064516134
AM Rahane,NLTC Perera,201.74603174603178,74.42857142857144
AM Rahane,SPD Smith,130.95652173913044,51.821598877980364
AM Rahane,SS Tiwary,105.40073529411765,43.66023481973435
AM Rahane,UT Khawaja,110.02810779484209,45.1380086183528
Ankit Sharma,I Sharma,150.0,57.90322580645161
Ankit Sharma,R Bhatia,100.0,41.935483870967744
F du Plessis,KP Pietersen,144.81612760301283,56.24773107322023
F du Plessis,MS Dhoni,125.0,49.91935483870968
F du Plessis,NLTC Perera,84.61538461538461,37.02233250620347
F du Plessis,SPD Smith,155.63323201621074,59.702225708402786
GJ Bailey,IK Pathan,116.66666666666667,47.25806451612903
GJ Bailey,R Ashwin,102.08333333333333,42.600806451612904
GJ Bailey,R Bhatia,75.0,33.95161290322581
GJ Bailey,SS Tiwary,132.25806451612902,52.2372528616025
GJ Bailey,UT Khawaja,79.94227994227994,35.52995391705069
IK Pathan,MS Dhoni,43.888888888888886,24.016129032258064
IK Pathan,R Ashwin,75.0,33.95161290322581
JA Morkel,MS Dhoni,233.33333333333334,84.51612903225806
M Ashwin,Ankit Sharma,0.0,10.0
MR Marsh,MS Dhoni,64.28571428571429,30.529953917050694
MS Dhoni,NLTC Perera,147.76785714285714,57.190380184331794
MS Dhoni,R Ashwin,127.08333333333333,50.58467741935484
MS Dhoni,R Bhatia,281.8181818181818,100.0
MS Dhoni,SPD Smith,113.21321321321322,46.15518744551003
MS Dhoni,SS Tiwary,88.52941176470588,38.27229601518027
MS Dhoni,UT Khawaja,66.66666666666666,31.29032258064516
NLTC Perera,R Bhatia,247.22222222222223,88.95161290322581
PSP Handscomb,SS Tiwary,76.47058823529412,34.42125237191651
R Ashwin,R Bhatia,146.42857142857142,56.76267281105991
R Ashwin,SS Tiwary,125.0,49.91935483870968
SPD Smith,SS Tiwary,175.0,65.88709677419355
SS Tiwary,UT Khawaja,110.71428571428572,45.35714285714286
