Source,Target,avgstr,normstr
A Choudhary,S Aravind,100.0,25.0
A Choudhary,YS Chahal,96.66666666666667,24.5
A Kumble,B Akhil,200.0,40.0
A Kumble,DW Steyn,40.0,16.0
A Kumble,KP Appanna,83.33333333333333,22.5
A Kumble,LRPL Taylor,75.0,21.25
A Kumble,MV Boucher,158.8235294117647,33.82352941176471
A Kumble,P Kumar,47.61904761904762,17.142857142857142
A Kumble,R Dravid,123.7012987012987,28.555194805194805
A Kumble,R Vinay Kumar,88.54166666666667,23.28125
A Kumble,RV Uthappa,133.33333333333331,29.999999999999996
A Kumble,V Kohli,100.0,25.0
A Kumble,Z Khan,400.0,70.0
A Mithun,A Kumble,0.0,10.0
A Mithun,AB de Villiers,287.5,53.125
A Mithun,CK Langeveldt,100.0,25.0
A Mithun,DL Vettori,0.0,10.0
A Mithun,JJ van der Wath,85.71428571428571,22.857142857142854
A Mithun,R Dravid,114.28571428571428,27.142857142857142
A Mithun,R Vinay Kumar,100.0,25.0
A Mithun,SS Tiwary,137.5,30.625
A Mukund,CH Gayle,169.23076923076923,35.38461538461539
A Mukund,V Kohli,88.0,23.2
AA Noffke,CL White,83.33333333333334,22.5
AA Noffke,P Kumar,100.0,25.0
AB Dinda,VR Aaron,74.24242424242425,21.136363636363637
AB Dinda,YS Chahal,0.0,10.0
AB McDonald,AB de Villiers,82.5,22.375
AB McDonald,CA Pujara,148.0,32.2
AB McDonald,DL Vettori,133.33333333333331,29.999999999999996
AB McDonald,V Kohli,37.5,15.625
AB de Villiers,AD Nath,127.77777777777777,29.166666666666668
AB de Villiers,AJ Finch,118.80952380952381,27.82142857142857
AB de Villiers,AUK Pathan,139.28571428571428,30.892857142857142
AB de Villiers,C de Grandhomme,168.7962962962963,35.31944444444444
AB de Villiers,CA Pujara,136.36363636363635,30.45454545454545
AB de Villiers,CH Gayle,112.07704991405973,26.81155748710896
AB de Villiers,CJ Anderson,113.33333333333333,27.0
AB de Villiers,D Padikkal,166.88341543513957,35.032512315270935
AB de Villiers,D Wiese,85.71428571428571,22.857142857142854
AB de Villiers,DJG Sammy,133.33333333333331,29.999999999999996
AB de Villiers,DL Vettori,138.46153846153845,30.769230769230766
AB de Villiers,Gurkeerat Singh,183.33333333333331,37.5
AB de Villiers,HV Patel,75.0,21.25
AB de Villiers,Iqbal Abdulla,168.5185185185185,35.27777777777777
AB de Villiers,J Syed Mohammad,381.8181818181818,67.27272727272728
AB de Villiers,JA Morkel,211.1111111111111,41.66666666666666
AB de Villiers,JJ van der Wath,102.5,25.375
AB de Villiers,JR Philippe,110.25641025641026,26.53846153846154
AB de Villiers,KB Arun Karthik,133.67521367521366,30.051282051282048
AB de Villiers,KD Karthik,233.00653594771242,44.950980392156865
AB de Villiers,KL Rahul,97.50457875457874,24.62568681318681
AB de Villiers,KM Jadhav,102.86663157630899,25.429994736446346
AB de Villiers,LA Pomersbach,85.71428571428571,22.857142857142854
AB de Villiers,M Kaif,132.27272727272728,29.84090909090909
AB de Villiers,MA Agarwal,155.98328108672936,33.3974921630094
AB de Villiers,MA Starc,189.28571428571428,38.39285714285714
AB de Villiers,MC Henriques,210.9460072595281,41.64190108892922
AB de Villiers,MM Ali,132.5314792027768,29.879721880416522
AB de Villiers,MP Stoinis,134.22459893048128,30.13368983957219
AB de Villiers,Mandeep Singh,114.40785772493089,27.161178658739637
AB de Villiers,NA Saini,50.0,17.5
AB de Villiers,PA Patel,133.9803984625445,30.097059769381676
AB de Villiers,Q de Kock,164.6011396011396,34.690170940170944
AB de Villiers,R Rampaul,42.857142857142854,16.428571428571427
AB de Villiers,R Vinay Kumar,163.63636363636365,34.54545454545455
AB de Villiers,RR Rossouw,228.98550724637678,44.347826086956516
AB de Villiers,S Dube,171.6274701473942,35.74412052210913
AB de Villiers,S Rana,129.16666666666666,29.375
AB de Villiers,SA Abbott,180.0,37.0
AB de Villiers,SN Khan,91.96428571428572,23.794642857142858
AB de Villiers,SO Hetmyer,113.54166666666666,27.03125
AB de Villiers,SR Watson,62.142857142857146,19.32142857142857
AB de Villiers,SS Tiwary,133.6976809954751,30.054652149321267
AB de Villiers,STR Binny,168.02325581395348,35.20348837209302
AB de Villiers,Sachin Baby,123.57142857142857,28.535714285714285
AB de Villiers,TM Dilshan,145.14682049699027,31.772023074548542
