Source,Target,avgstr,normstr
A Ashish Reddy,A Mishra,129.03225806451613,29.35483870967742
A Ashish Reddy,CL White,144.44444444444443,31.666666666666664
A Ashish Reddy,DB Ravi Teja,142.85714285714286,31.42857142857143
A Ashish Reddy,DJG Sammy,140.51383399209487,31.07707509881423
A Ashish Reddy,EJG Morgan,119.37830687830689,27.906746031746035
A Ashish Reddy,GH Vihari,81.48148148148148,22.22222222222222
A Ashish Reddy,KV Sharma,209.07738095238093,41.36160714285714
A Ashish Reddy,MC Henriques,94.16666666666666,24.125
A Ashish Reddy,NLTC Perera,142.9986135868489,31.449792038027336
A Ashish Reddy,PA Patel,88.88888888888889,23.333333333333332
A Ashish Reddy,RS Bopara,147.61904761904762,32.142857142857146
A Ashish Reddy,S Dhawan,268.75,50.3125
A Mishra,B Kumar,60.0,19.0
A Mishra,BB Samantray,119.23076923076923,27.884615384615383
A Mishra,DJG Sammy,107.40740740740742,26.111111111111114
A Mishra,DW Steyn,108.33333333333333,26.25
A Mishra,IK Pathan,200.0,40.0
A Mishra,KV Sharma,99.16666666666666,24.875
A Mishra,NLTC Perera,55.00000000000001,18.25
A Mishra,S Dhawan,77.41935483870968,21.612903225806452
A Nehra,BB Sran,150.0,32.5
AD Hales,KS Williamson,117.64705882352942,27.647058823529413
AD Hales,S Dhawan,122.3207236312075,28.348108544681125
AJ Finch,DA Warner,91.63776061337038,23.745664092005555
AJ Finch,DJG Sammy,128.33333333333331,29.249999999999996
AJ Finch,KL Rahul,121.63740698040037,28.245611047060056
AJ Finch,NV Ojha,150.0,32.5
AJ Finch,S Dhawan,120.65466611728868,28.098199917593302
AJ Finch,Y Venugopal Rao,110.71428571428572,26.607142857142858
AP Tare,S Dhawan,50.0,17.5
Abdul Samad,Abhishek Sharma,126.47058823529412,28.970588235294116
Abdul Samad,DA Warner,168.1818181818182,35.227272727272734
Abdul Samad,KS Williamson,149.77517106549365,32.46627565982405
Abdul Samad,MK Pandey,66.66666666666666,20.0
Abdul Samad,PK Garg,138.46153846153845,30.769230769230766
Abdul Samad,Rashid Khan,200.0,40.0
Abhishek Sharma,B Kumar,66.66666666666666,20.0
Abhishek Sharma,DA Warner,100.0,25.0
Abhishek Sharma,DJ Hooda,80.0,22.0
Abhishek Sharma,JO Holder,245.45454545454547,46.81818181818182
Abhishek Sharma,KS Williamson,155.71428571428572,33.35714285714286
Abhishek Sharma,MK Pandey,100.0,25.0
Abhishek Sharma,Mohammad Nabi,100.0,25.0
Abhishek Sharma,PK Garg,150.3623188405797,32.55434782608695
Abhishek Sharma,Rashid Khan,111.1111111111111,26.666666666666664
Abhishek Sharma,V Shankar,166.66666666666669,35.0
B Kumar,A Nehra,150.0,32.5
B Kumar,BB Sran,50.0,17.5
B Kumar,BCJ Cutting,377.77777777777777,66.66666666666667
B Kumar,Bipul Sharma,233.33333333333334,45.0
B Kumar,CR Brathwaite,145.7142857142857,31.857142857142854
B Kumar,DW Steyn,50.0,17.5
B Kumar,IK Pathan,250.0,47.5
B Kumar,KS Williamson,225.0,43.75
B Kumar,KV Sharma,94.82142857142857,24.223214285714285
B Kumar,Mohammad Nabi,40.0,16.0
B Kumar,NV Ojha,80.83333333333334,22.125
B Kumar,P Kumar,127.27272727272727,29.09090909090909
B Kumar,Rashid Khan,82.70833333333333,22.40625
B Kumar,S Dhawan,209.0909090909091,41.36363636363637
B Kumar,S Kaul,24.999999999999996,13.75
B Kumar,Sandeep Sharma,40.0,16.0
B Stanlake,DJ Hooda,200.0,40.0
BB Samantray,CL White,80.95238095238095,22.142857142857142
BB Samantray,DJG Sammy,244.44444444444446,46.66666666666667
BB Samantray,GH Vihari,75.06017791732079,21.259026687598116
BB Samantray,KV Sharma,122.22222222222223,28.333333333333336
BB Samantray,NLTC Perera,99.50320512820514,24.925480769230774
BB Samantray,PA Patel,0.0,10.0
BB Sran,KV Sharma,100.0,25.0
BCJ Cutting,Bipul Sharma,177.77777777777777,36.666666666666664
BCJ Cutting,DA Warner,112.5,26.875
BCJ Cutting,DJ Hooda,212.5,41.875
BCJ Cutting,NV Ojha,130.55555555555557,29.583333333333336
BCJ Cutting,Yuvraj Singh,150.74308300395256,32.61146245059288
Basil Thampi,B Kumar,100.0,25.0
Basil Thampi,YK Pathan,60.0,19.0
Bipul Sharma,BB Sran,100.0,25.0
Bipul Sharma,DA Warner,219.04761904761907,42.85714285714286
Bipul Sharma,MC Henriques,50.0,17.5
Bipul Sharma,NV Ojha,147.64705882352942,32.14705882352941
Bipul Sharma,Rashid Khan,100.0,25.0
Bipul Sharma,S Dhawan,144.44444444444443,31.666666666666664
CJ Jordan,NV Ojha,50.0,17.5
CL White,GH Vihari,70.9583688547883,20.643755328218248
CL White,KC Sangakkara,101.11111111111111,25.166666666666664
CL White,NLTC Perera,141.38888888888889,31.208333333333332
CL White,PA Patel,116.10389610389612,27.41558441558442
CL White,PA Reddy,81.57894736842105,22.236842105263158
CL White,S Dhawan,124.50980392156862,28.676470588235293
CR Brathwaite,MK Pandey,116.66666666666667,27.5
CR Brathwaite,YK Pathan,130.37518037518035,29.556277056277054
DA Warner,DJ Hooda,154.4337423078393,33.16506134617589
DA Warner,DJG Sammy,120.0,28.0
DA Warner,EJG Morgan,144.8838383838384,31.73257575757576
DA Warner,GH Vihari,184.0,37.599999999999994
DA Warner,IK Pathan,87.5,23.125
DA Warner,JM Bairstow,120.11124031776336,28.016686047664503
DA Warner,KL Rahul,106.49983483718422,25.974975225577634
DA Warner,KS Williamson,126.95901543155547,29.04385231473332
DA Warner,MC Henriques,120.72404771066944,28.108607156600414
DA Warner,MK Pandey,132.17978416125828,29.826967624188743
DA Warner,Mohammad Nabi,123.33333333333333,28.5
DA Warner,NV Ojha,175.01722597347222,36.25258389602084
DA Warner,PK Garg,130.30303030303028,29.54545454545454
DA Warner,RK Bhui,100.0,25.0
DA Warner,RS Bopara,82.5,22.375
