Source,avgstr,normstr
A Flintoff,128.9100529100529,56.40761904761905
A Mukund,0.0,10.0
A Nehra,43.75,25.75
AS Rajpoot,33.33333333333333,21.999999999999996
AT Rayudu,109.01504590421533,49.24541652551752
B Laughlin,25.0,19.0
BB McCullum,145.43768720017195,62.3575673920619
CH Morris,69.16666666666667,34.900000000000006
CK Kapugedera,58.97435897435898,31.230769230769234
DE Bollinger,78.69047619047618,38.32857142857142
DJ Bravo,146.81758807552308,62.85433170718831
DJ Hussey,102.46907338119796,46.88886641723126
DL Chahar,94.4973544973545,44.01904761904762
DR Shorey,80.8080808080808,39.09090909090909
DR Smith,119.13135376406323,52.88728735506277
F du Plessis,116.71365945906595,52.01691740526374
GJ Bailey,111.68430335097003,50.20634920634921
Harbhajan Singh,78.07971014492753,38.10869565217391
Imran Tahir,120.0,53.199999999999996
JA Morkel,142.1490299697866,61.17365078912317
JDP Oram,104.3225854605165,47.556130765785944
JM Kemp,96.52777777777777,44.75
Joginder Sharma,80.0,38.8
KB Arun Karthik,80.0,38.8
KM Jadhav,94.05307489706465,43.85910696294327
KMDN Kulasekara,200.0,82.0
L Balaji,53.92857142857143,29.414285714285715
M Manhas,153.93939393939394,65.41818181818181
M Muralitharan,70.83333333333333,35.5
M Ntini,46.15384615384615,26.615384615384617
M Vijay,107.01168341711262,48.52420603016054
MA Wood,60.0,31.599999999999998
MEK Hussey,108.66554679812089,49.11959684732352
MJ Santner,194.64285714285714,80.07142857142857
ML Hayden,124.50552071867382,54.821987458722575
MM Sharma,74.07407407407408,36.666666666666664
MS Dhoni,130.81564606138457,57.093632582098444
MS Gony,145.77380952380955,62.47857142857144
N Jagadeesan,58.333333333333336,31.0
P Negi,140.67722401055732,60.64380064380064
PA Patel,88.07632327484819,41.70747637894535
R Ashwin,100.92250950803582,46.33210342289289
RA Jadeja,140.67934673615216,60.644564825014776
RD Gaikwad,76.79020979020979,37.644475524475524
RG More,100.0,46.0
S Anirudha,130.28138528138527,56.9012987012987
S Badrinath,114.41324187254668,51.188767074116804
S Randiv,50.0,28.0
S Tyagi,75.0,37.0
S Vidyut,114.97089314194577,51.38952153110048
SB Jakati,91.38888888888889,42.9
SB Styris,250.0,100.0
SK Raina,120.43418695500623,53.35630730380224
SM Curran,138.92640692640694,60.013506493506505
SN Thakur,159.0,67.24000000000001
SP Fleming,108.50782381918285,49.062816574905824
SR Watson,119.33185666664039,52.95946839999054
SW Billings,84.81946797164188,40.53500846979108
T Thushara,63.33333333333333,32.8
WP Saha,107.44047619047619,48.67857142857142
