Source,avgstr,normstr
A Ashish Reddy,140.0,82.0
A Mishra,91.91729323308273,57.271750805585405
A Symonds,127.5298597309378,75.5867850044823
AA Bilakhia,86.6156462585034,54.545189504373184
AA Jhunjhunwala,92.77777777777779,57.714285714285715
AC Gilchrist,129.08744150154962,76.3878270579398
AS Yadav,108.57142857142857,65.83673469387756
Anirudh Singh,69.3452380952381,45.663265306122454
Ankit Sharma,96.875,59.82142857142858
B Chipli,103.1685938146399,63.05813396181481
B Sumanth,124.4517543859649,74.00375939849624
BB Samantray,100.0,61.42857142857142
CA Lynn,70.0,46.0
CL White,109.25167055004886,66.18657342573941
D Kalyankrishna,50.0,35.71428571428571
DB Ravi Teja,126.3175298028033,74.9633010414417
DJ Harris,113.8935574229692,68.57382953181273
DNT Zoysa,110.71428571428571,66.93877551020407
DP Vijaykumar,100.0,61.42857142857142
DR Smith,136.97099502196954,80.44222601129863
DT Christian,112.3597207521693,67.78499924397278
DW Steyn,107.01923076923076,65.03846153846153
FH Edwards,91.66666666666666,57.14285714285714
H Das,40.0,30.57142857142857
HH Gibbs,104.11400649319617,63.54434619650088
Harmeet Singh,0.0,10.0
I Malhotra,175.0,100.0
I Sharma,87.5,55.0
IR Jaggi,68.45238095238093,45.20408163265305
J Theron,116.66666666666667,70.0
JP Duminy,120.58640009746966,72.01586290727012
Jaskaran Singh,62.5,42.142857142857146
KAJ Roach,111.11111111111111,67.14285714285714
KC Sangakkara,104.0300012175093,63.5011434832905
LPC Silva,122.22222222222221,72.85714285714286
MD Mishra,98.03663037908963,60.418838480674665
MJ Lumb,0.0,10.0
MR Marsh,109.21052631578948,66.1654135338346
MS Gony,50.0,35.71428571428571
PA Patel,107.729373262139,65.40367767767148
PA Reddy,121.38567138567139,72.426916712631
PM Sarvesh Kumar,50.0,35.71428571428571
PP Ojha,47.5,34.42857142857143
R Sharma,111.60714285714286,67.39795918367346
RG Sharma,115.23371342978157,69.26305262103052
RJ Harris,115.52777777777779,69.41428571428571
RP Singh,79.12280701754385,50.691729323308266
S Dhawan,127.5912910187334,75.61837823820575
S Sohal,115.41159957928252,69.35453692648815
SB Bangar,97.44047619047619,60.11224489795918
SB Styris,97.6046176046176,60.19666048237477
Shahid Afridi,130.42328042328043,77.07482993197279
Shoaib Ahmed,16.666666666666668,18.571428571428573
TL Suman,111.68828658568273,67.43969024406542
V Pratap Singh,0.0,10.0
VVS Laxman,82.28588405058994,52.31845465458911
WPUJC Vaas,97.03379953379954,59.9030969030969
Y Venugopal Rao,99.7403725700429,61.29504875030777
