Source,avgstr,normstr
A Mishra,115.40404040404042,41.15909090909091
A Nortje,161.11111111111111,53.49999999999999
AM Rahane,69.4626388104649,28.754912478825517
AR Patel,144.60037861298366,49.04210222550558
AT Carey,111.92511192511193,40.21978021978022
Avesh Khan,133.33333333333331,45.99999999999999
C Munro,107.04807692307692,38.902980769230766
CA Ingram,117.88573752896279,41.82914913281995
CH Morris,48.495370370370374,23.09375
DR Sams,0.0,10.0
GH Vihari,53.33333333333333,24.4
HV Patel,66.66666666666667,28.0
I Sharma,333.33333333333337,100.0
J Suchith,40.0,20.799999999999997
K Rabada,98.52380952380952,36.60142857142857
KMA Paul,91.66666666666667,34.75
MP Stoinis,134.26151063794413,46.25060787224491
P Dubey,61.53846153846154,26.615384615384613
PP Shaw,107.82217044503584,39.11198602015967
R Ashwin,89.53846153846153,34.175384615384615
R Tewatia,120.73412698412699,42.598214285714285
RR Pant,129.43668986401184,44.947906263283194
S Dhawan,117.45137784834552,41.71187201905329
S Lamichhane,0.0,10.0
SE Rutherford,139.89272632129774,47.77103610675039
SO Hetmyer,144.18766016592102,48.93066824479867
SS Iyer,115.18898953367967,41.1010271740935
TA Boult,150.0,50.49999999999999
TU Deshpande,127.77777777777777,44.49999999999999
