Source,avgstr,normstr
A Mishra,97.76906785441449,49.9964368495332
A Nehra,41.25,26.874999999999996
AB Agarkar,95.23809523809524,48.96103896103896
AB Dinda,0.0,10.0
AB McDonald,122.48079877112136,60.105781315458735
AB de Villiers,96.10589951531908,49.316049801721434
AD Mathews,116.23737373737372,57.55165289256197
AD Russell,129.70779220779218,63.06227863046043
AJ Finch,78.9514652014652,42.29832667332667
AP Tare,46.2962962962963,28.939393939393938
AR Bawne,100.0,50.9090909090909
Abhishek Sharma,146.5151515151515,69.9380165289256
B Chipli,115.78947368421053,57.368421052631575
BJ Rohrer,145.289575740585,69.43664462114842
BMAJ Mendis,64.27015250544663,36.29233511586453
C Munro,103.125,52.18749999999999
CA Ingram,88.8888888888889,46.36363636363636
CH Morris,158.54978882391163,74.86127724614566
CJ Anderson,93.31990473294822,48.17632466347881
CM Gautam,105.8974358974359,53.32167832167832
CR Brathwaite,166.74242424242425,78.21280991735537
DA Warner,109.78236808702833,54.91096876287522
DAJ Bracewell,133.33333333333331,64.54545454545453
DJ Muthuswami,33.33333333333333,23.636363636363633
DL Vettori,123.5294117647059,60.534759358288774
DP Nannes,38.63636363636363,25.805785123966942
DPMD Jayawardene,102.27729472027703,51.84071147647696
DT Christian,82.56928256928256,43.77834286925195
G Gambhir,112.73247094995918,56.117829024983294
GD McGrath,66.66666666666666,37.272727272727266
GJ Maxwell,118.95400026039124,58.66300010652368
HV Patel,183.08823529411765,84.89973262032085
IK Pathan,119.40118722390902,58.84594022796278
Imran Tahir,82.61904761904762,43.798701298701296
J Botha,71.15079365079364,39.10714285714285
J Yadav,65.71428571428572,36.883116883116884
JA Morkel,143.50282485875707,68.70570107858242
JD Unadkat,10.0,14.09090909090909
JDS Neesham,102.22222222222221,51.818181818181806
JJ Roy,97.14127702362997,49.73961332784862
JP Duminy,129.52459218912915,62.9873331682801
JR Hopes,149.1772273425499,71.02704754922496
K Rabada,57.14285714285714,33.37662337662337
KD Karthik,117.13559400548768,57.91910663860859
KK Nair,116.39228062059632,57.61502389024395
KM Jadhav,119.20840193491996,58.76707351883089
KP Pietersen,122.95324946907529,60.29905660098534
LE Plunkett,25.0,20.227272727272727
LR Shukla,76.83982683982684,41.43447461629279
LRPL Taylor,109.67885702260702,54.868623327430136
M Manhas,100.24144972674385,51.0078657973043
M Morkel,125.32828282828281,61.270661157024776
M Vijay,95.13794540580896,48.92006857510366
MA Agarwal,110.15898861306326,55.06504079625314
MC Henriques,220.00000000000003,100.0
MC Juneja,92.85817357245928,47.987434643278796
MF Maharoof,117.0461482961483,57.88251521206066
MK Tiwary,125.09567641820331,61.17550398926499
MN Samuels,43.06818181818181,27.618801652892557
MS Wade,74.62962962962963,40.53030303030303
Mohammad Asif,30.0,22.272727272727273
Mohammed Shami,99.35897435897436,50.64685314685314
NM Coulter-Nile,107.90043290043289,54.141086186540726
NV Ojha,102.29935099768232,51.849734499051856
P Negi,135.33725923199606,65.36524241308929
PD Collingwood,119.53256677897944,58.8996864095825
PJ Cummins,145.54716117216117,69.54202047952047
PJ Sangwan,60.625,34.80113636363636
PP Shaw,141.3764113764114,67.83580465398647
Q de Kock,117.62132848934378,58.117816200186084
R Bhatia,91.7099567099567,47.5177095631641
R Shukla,72.22222222222221,39.54545454545454
R Tewatia,108.38095238095238,54.33766233766233
RE van der Merwe,86.3425925925926,45.32196969696969
RR Pant,131.03471588321483,63.605111043133334
S Dhawan,99.3126568245164,50.62790506457488
S Kaul,88.88888888888889,46.36363636363636
S Ladda,5.555555555555555,12.272727272727273
S Nadeem,36.54761904761905,24.9512987012987
S Sriram,57.14285714285714,33.37662337662337
SS Iyer,106.71735695504069,53.65710057251664
SS Tiwary,144.7660903910904,69.22249152362787
SV Samson,107.53297948584857,53.99076433511986
SW Billings,115.46557090957906,57.23591537210052
Shoaib Malik,110.27113237639553,55.11091779034361
Sunny Gupta,0.0,10.0
TA Boult,0.0,10.0
TM Dilshan,108.20009513226196,54.26367528137989
TR Birt,126.41181041181042,61.71392244119516
UBT Chand,77.9306975076206,41.88073988948115
UT Yadav,95.68376068376068,49.14335664335663
V Sehwag,143.98777937190331,68.90409156123317
V Shankar,137.45724183224183,66.23250802228074
VR Aaron,33.333333333333336,23.636363636363637
VY Mahesh,84.85714285714286,44.71428571428571
WD Parnell,100.0,50.9090909090909
Y Nagar,108.49574448016631,54.38462274188621
Y Venugopal Rao,110.74260907929585,55.303794623348296
Yuvraj Singh,100.10226233473348,50.95092550057278
Z Khan,62.525252525252526,35.57851239669421
