Source,avgstr,normstr
AD Nath,52.272727272727266,36.46306818181818
AJ Finch,128.4763440888288,75.04114919496958
AJ Tye,172.22222222222226,97.18750000000001
Ankit Soni,127.77777777777777,74.6875
BB McCullum,118.98007652849998,70.23366374255312
Basil Thampi,76.33333333333334,48.643750000000004
DJ Bravo,128.10786435786437,74.85460633116884
DR Smith,114.19882954410559,67.81315745670345
DS Kulkarni,150.0,85.9375
DW Steyn,50.0,35.3125
ER Dwivedi,177.77777777777777,100.0
IK Pathan,66.66666666666666,43.74999999999999
Ishan Kishan,110.85678218245108,66.12124597986586
JJ Roy,154.33455433455433,88.13186813186813
JP Faulkner,122.56902101729689,72.05056689000656
KD Karthik,108.49121535358076,64.92367777275027
MM Patel,0.0,10.0
P Kumar,75.88141025641025,48.414963942307686
PJ Sangwan,50.0,35.3125
PV Tambe,42.10526315789473,31.31578947368421
RA Jadeja,115.65241664653429,68.54903592730798
S Kaushik,0.0,10.0
SB Jakati,50.0,35.3125
SK Raina,122.96022167514546,72.24861222304239
