Source,avgstr,normstr
AB Barath,78.33333333333333,45.25
AC Gilchrist,110.09690177011441,59.54360579655149
AD Mascarenhas,72.5,42.625
AD Nath,69.23076923076923,41.15384615384615
AJ Finch,113.84656084656086,61.23095238095239
AJ Tye,84.37149270482604,47.967171717171716
AM Nayar,79.90912933220625,45.95910819949281
AR Patel,118.52027486548656,63.334123689468946
AS Rajpoot,56.666666666666664,35.5
Anureet Singh,82.85714285714286,47.285714285714285
Arshdeep Singh,0.0,10.0
Azhar Mahmood,112.54762274973946,60.64643023738276
B Lee,91.18253968253968,51.03214285714286
BA Bhatt,150.0,77.5
BB Sran,80.0,46.0
BE Hendricks,25.0,21.25
Bipul Sharma,127.62928429595097,67.43317793317794
CA Pujara,106.8015683147262,58.06070574162679
CH Gayle,135.28416649091713,70.8778749209127
CJ Jordan,102.52976190476191,56.13839285714286
DA Miller,128.30255069959404,67.73614781481731
DJ Hooda,110.60728250244378,59.7732771260997
DJ Hussey,110.11039343617513,59.54967704627881
DPMD Jayawardene,126.61424722217976,66.97641124998088
EJG Morgan,103.76050420168067,56.69222689075631
F Behardien,76.19047619047619,44.285714285714285
GC Viljoen,66.66666666666667,40.0
GJ Bailey,120.80417669446788,64.36187951251054
GJ Maxwell,123.57009884571262,65.60654448057068
Gurkeerat Singh,105.22817460317462,57.35267857142858
HM Amla,106.77524680086155,58.048861060387694
Harmeet Singh,136.11111111111111,71.25
Harpreet Brar,157.14285714285714,80.71428571428571
I Sharma,106.66666666666667,58.0
IK Pathan,142.63771998987514,74.18697399544381
J Theron,50.0,32.5
JDS Neesham,97.22222222222221,53.74999999999999
JP Faulkner,101.11111111111111,55.5
JR Hopes,122.2408354381335,65.00837594716009
K Goel,80.48629816346602,46.218834173559706
K Gowtham,159.6153846153846,81.82692307692307
KC Cariappa,63.33333333333333,38.5
KC Sangakkara,125.80196665469524,66.61088499461286
KD Karthik,114.69304660481129,61.61187097216507
KJ Abbott,100.0,55.0
KK Nair,109.09920146692845,59.0946406601178
KL Rahul,133.9917311543642,70.2962790194639
Karanveer Singh,80.53571428571428,46.24107142857142
L Ablish,0.0,10.0
L Balaji,50.0,32.5
LA Pomersbach,123.00091606112949,65.35041222750826
M Ashwin,75.0,43.75
M Kaif,96.07843137254902,53.23529411764706
M Vijay,108.99321345406327,59.04694605432847
M Vohra,117.27551981103736,62.77398391496681
MA Agarwal,126.48858445579019,66.91986300510558
MG Johnson,81.87590187590187,46.84415584415584
MJ Guptill,114.97594997594997,61.739177489177486
MK Tiwary,156.71370967741936,80.5211693548387
MM Sharma,101.91468253968253,55.86160714285713
MP Stoinis,105.02784438431902,57.26252997294356
MS Bisla,111.51464325148535,60.18158946316841
MS Gony,81.57894736842104,46.710526315789465
Mandeep Singh,108.85654108558242,58.98544348851209
Mohammed Shami,50.0,32.5
Mujeeb Ur Rahman,70.66666666666666,41.8
N Pooran,174.47861553776107,88.51537699199248
N Saini,86.78282828282829,49.05227272727273
NJ Rimmington,100.0,55.0
NLTC Perera,102.67857142857143,56.205357142857146
NS Naik,60.0,37.0
P Awana,20.0,19.0
P Dogra,64.10774410774411,38.84848484848485
P Kumar,92.86281179138321,51.78826530612244
P Sahu,125.0,66.25
P Simran Singh,96.36243386243386,53.36309523809524
PC Valthaty,101.03361523041895,55.465126853688524
PP Chawla,116.38368151123255,62.37265668005465
R Ashwin,117.46675943104513,62.860041743970314
R Dhawan,125.61026936026936,66.52462121212122
R McLaren,79.88895162808207,45.95002823263693
R Sathish,128.79273504273505,67.95673076923077
R Tewatia,166.66666666666666,85.0
RJ Harris,86.24242424242424,48.809090909090905
RR Powar,117.77777777777777,63.0
RR Sarwan,94.8705808080808,52.69176136363636
RS Bopara,88.5200032032234,49.834001441450525
RS Sodhi,200.0,100.0
Ravi Bishnoi,52.857142857142854,33.785714285714285
S Sohal,84.62820512820514,48.08269230769231
S Sreesanth,71.51515151515152,42.18181818181819
SD Chitnis,103.71861471861473,56.673376623376626
SE Marsh,120.54759879911192,64.24641945960036
SJ Srivastava,87.5,49.375
SM Curran,122.69345238095237,65.21205357142857
SM Katich,110.62934483919179,59.7832051776363
SN Khan,121.6500884173298,64.74253978779842
SN Thakur,116.66666666666667,62.5
SS Cottrell,0.0,10.0
Sandeep Sharma,77.52525252525253,44.88636363636364
Shivam Sharma,150.0,77.5
Sunny Singh,126.36363636363635,66.86363636363635
Swapnil Singh,52.94117647058823,33.82352941176471
T Kohli,25.0,21.25
TM Srivastava,59.25925925925926,36.666666666666664
U Kaul,0.0,10.0
V Sehwag,117.93405827076184,63.070326221842826
VR Aaron,41.66666666666667,28.750000000000004
VRV Singh,125.0,66.25
VS Malik,160.0,82.0
WA Mota,83.771059593428,47.696976817042604
WP Saha,122.55413062520361,65.14935878134162
YA Abdulla,100.0,55.0
Yuvraj Singh,122.21867869182417,64.99840541132087
