Source,avgstr,normstr
B Akhil,144.44444444444443,98.86075949367087
BB McCullum,120.54387042571153,82.9320857963761
BJ Hodge,114.98257189398086,79.22572671162142
DPMD Jayawardene,110.7725638294794,76.41994285597582
KM Jadhav,66.16161616161617,46.688722669735334
M Klinger,86.17948717948717,60.02974683544303
M Muralitharan,87.5,60.90981012658228
NLTC Perera,60.5,42.915506329113924
OA Shah,146.15384615384616,100.0
P Parameswaran,100.0,69.24050632911391
PA Patel,86.54426255432449,60.27285346183778
R Vinay Kumar,107.42272347535504,74.18742267060054
RA Jadeja,136.4171856480293,93.51094714390813
RP Singh,75.0,52.57911392405064
RR Powar,61.11111111111111,43.32278481012658
RV Gomez,64.50932017543859,45.587540597934705
S Sreesanth,11.111111111111109,10.0
VVS Laxman,87.01149425287356,60.58424268878218
Y Gnaneswara Rao,111.11111111111111,76.64556962025316
