Source,avgstr,normstr
A Dananjaya,80.0,52.146341463414636
A Nehra,60.0,41.609756097560975
A Symonds,97.16266555548668,61.18813599996372
AC Blizzard,106.28633271490413,65.9947508937056
AG Murtaza,40.0,31.073170731707318
AJ Finch,85.23809523809524,54.905923344947745
AM Nayar,126.4250511270635,76.60441717913591
AM Rahane,72.38495139657931,48.1345109796613
AN Ahmed,106.73076923076923,66.22889305816136
AP Tare,140.53330135267933,84.03705632238716
AS Joseph,115.38461538461537,70.78799249530957
AT Rayudu,118.50947216122245,72.4342585044489
BB Sran,100.0,62.6829268292683
BCJ Cutting,135.41446208112873,81.34030197444831
BR Dunk,123.41269841269843,75.01742160278746
C Madan,104.76190476190477,65.19163763066203
C Nanda,0.0,10.0
CJ Anderson,125.12894011665642,75.92158796389705
CJ McKay,53.333333333333336,38.09756097560976
CM Gautam,117.07387495021905,71.67794387621296
CRD Fernando,150.0,89.02439024390245
DJ Bravo,108.83353870440261,67.33669356134382
DJ Jacobs,88.65291571173923,56.70495071642848
DJ Thornely,78.125,51.15853658536586
DR Smith,116.18260897862214,71.2083988765424
DS Kulkarni,83.63211951447246,54.05984832957574
E Lewis,106.74524761578954,66.23652069514768
GJ Maxwell,107.00280112044818,66.37220741955319
GR Napier,93.75,59.390243902439025
HH Gibbs,76.90072639225183,50.51355341640584
HH Pandya,149.851999516204,88.94641925731723
Harbhajan Singh,126.00781302428415,76.38460393474483
Ishan Kishan,123.31019766040849,74.96342120645912
J Suchith,145.71428571428572,86.7665505226481
JC Buttler,134.71080549028878,80.96959508756677
JEC Franklin,106.99535585222101,66.36828503434083
JJ Bumrah,84.7382920110193,54.642612376537
JL Pattinson,108.75,67.29268292682929
JP Duminy,109.61712087180805,67.74950758124523
KA Pollard,139.37734116097428,83.42806266041572
KD Karthik,106.70000130084007,66.2126836121499
KH Pandya,138.37955272323325,82.90239850784971
KV Sharma,120.27777777777777,73.3658536585366
L Ronchi,87.96969696969697,56.34501108647451
LMP Simmons,107.5000151446242,66.63415432009471
M Markande,106.01731601731603,65.85302502375674
M de Lange,50.0,36.34146341463415
MA Khote,131.42857142857142,79.24041811846689
MEK Hussey,101.17724974592754,63.30313645151305
MG Johnson,126.76587301587301,76.78397212543555
MJ Guptill,83.86243386243386,54.18118466898955
MJ McClenaghan,101.11111111111111,63.268292682926834
MK Pandey,37.5,29.75609756097561
MM Patel,23.333333333333332,22.29268292682927
Mohammad Ashraful,41.66666666666667,31.951219512195127
Mustafizur Rahman,33.33333333333333,27.5609756097561
N Rana,114.17044971763663,70.14833448538906
NLTC Perera,43.75,33.048780487804876
NM Coulter-Nile,127.77777777777777,77.31707317073172
P Kumar,50.0,36.34146341463415
PA Patel,109.2935806775059,67.57905713741775
PJ Sangwan,20.0,20.53658536585366
PP Ojha,66.85185185185186,45.219512195121965
PR Shah,99.36464184175856,62.34820155565817
Q de Kock,128.1592333317011,77.51803512109133
R Dhawan,117.5,71.90243902439025
R McLaren,91.87984496124031,58.40499149177539
R Sathish,104.37222907811143,64.98634507529775
R Vinay Kumar,102.27272727272727,63.880266075388036
RD Chahar,78.57142857142858,51.39372822299652
RE Levi,61.616161616161605,42.46119733924612
RG Sharma,112.93970806621707,69.49994376171436
RJ Peterson,105.23809523809523,65.4425087108014
RP Singh,72.0,47.931707317073176
RR Raje,85.42857142857142,55.006271777003484
RT Ponting,58.18300653594771,40.652510760401725
RV Uthappa,119.9072619064855,73.17065505317285
Rasikh Salam,125.0,75.85365853658537
S Dhawan,93.0785061142204,59.036481269930746
S Gopal,74.16666666666667,49.07317073170732
SA Yadav,126.33076583322858,76.55474492677409
SD Chitnis,170.83333333333331,100.0
SD Lad,115.38461538461537,70.78799249530957
SL Malinga,80.45078940667176,52.38383051668561
SM Pollock,108.95598024155899,67.40119934677254
SR Tendulkar,110.83200840777106,68.38954589287451
SS Tiwary,116.99087326675702,71.63421616004761
ST Jayasuriya,128.2914139945156,77.58767176296432
STR Binny,160.0,94.29268292682927
TA Boult,0.0,10.0
TG Southee,135.0,81.1219512195122
TL Suman,104.26587301587301,64.93031358885018
UBT Chand,100.8998599439776,63.15699938511992
VS Yeligati,100.0,62.6829268292683
YV Takawale,137.74458874458875,82.56788089958823
Yuvraj Singh,121.57051282051282,74.046904315197
Z Khan,98.76543209876542,62.03252032520325
