Source,avgstr,normstr
A Nehra,96.25,31.65625
AA Jhunjhunwala,66.66666666666666,24.999999999999996
AB Dinda,63.333333333333336,24.25
AC Thomas,75.0,26.875
AD Mathews,121.44093581927297,37.324210559336414
AG Murtaza,92.5,30.8125
AJ Finch,125.88963940958784,38.32516886715726
AM Nayar,71.36243386243387,26.05654761904762
AP Majumdar,116.63510101010101,36.242897727272734
B Kumar,81.11231361231361,28.250270562770563
BAW Mendis,50.0,21.25
CJ Ferguson,86.81905083220872,29.534286437246962
GC Smith,58.92857142857143,23.25892857142857
Harpreet Singh,89.47368421052632,30.13157894736842
IC Pandey,0.0,10.0
JD Ryder,114.13798858905348,35.681047432537035
JE Taylor,100.0,32.5
K Upadhyay,118.75,36.71875
KW Richardson,90.0,30.25
LJ Wright,169.74747474747477,48.19318181818182
LRPL Taylor,83.30229419703105,28.743016194331986
M Kartik,114.01709401709402,35.65384615384616
M Manhas,82.92164784833615,28.657370765875633
M Rawat,45.45454545454545,20.227272727272727
MD Mishra,98.67484367484367,32.20183982683983
MJ Clarke,98.13620071684586,32.08064516129032
MK Pandey,101.47198402441529,32.83119640549344
MN Samuels,85.5363247863248,29.24567307692308
MR Marsh,119.53665021846842,36.89574629915539
NL McCullum,139.73214285714286,41.43973214285714
Parvez Rasool,62.5,24.0625
R Sharma,51.34680134680135,21.553030303030305
RV Gomez,400.0,100.0
RV Uthappa,115.002341672899,35.875526876402276
S Rana,125.0,38.125
SB Wagh,50.0,21.25
SC Ganguly,87.51067775849327,29.689902495660988
SPD Smith,136.38465183699105,40.686546663322986
TD Paine,46.666666666666664,20.5
TL Suman,72.0952380952381,26.22142857142857
UA Birla,60.0,23.5
WD Parnell,83.31614463967406,28.746132543926663
Yuvraj Singh,114.14253846089481,35.68207115370133
