Source,avgstr,normstr
A Chandila,33.33333333333333,25.65884861407249
A Singh,26.666666666666664,22.527078891257993
A Uniyal,33.33333333333333,25.65884861407249
AA Chavan,116.66666666666667,64.80597014925372
AA Jhunjhunwala,122.41619866619867,67.50690168472684
AC Voges,129.6654148102622,70.91233302984428
AD Mascarenhas,105.35714285714286,59.493146512336274
AG Paunikar,72.88304093567253,44.237935136348334
AJ Finch,100.0,56.97654584221748
AJ Turner,23.214285714285715,20.905269570514772
AJ Tye,100.0,56.97654584221748
AL Menaria,97.45453020666437,55.78077205785137
AM Nayar,98.51190476190476,56.27749010051781
AM Rahane,111.00063429381622,62.14426385418675
AP Dole,131.57894736842104,71.81124452923352
AS Rajpoot,90.0,52.27889125799573
AS Raut,95.37073176539289,54.80187552782806
Ankit Sharma,94.02777777777777,54.17100213219616
Anureet Singh,100.0,56.97654584221748
B Laughlin,16.666666666666664,17.829424307036245
BA Stokes,119.86199897943436,66.30702689797224
BCJ Cutting,150.0,80.46481876332622
BJ Hodge,120.88577517619629,66.7879615923658
CH Morris,136.6991341991342,74.21653144297066
D Salunkhe,143.33333333333334,77.33304904051172
DH Yagnik,127.8214595861655,70.04610655868652
DJ Hooda,145.59082892416228,78.39354249162352
DJM Short,128.18826135105203,70.21841735791851
DR Martyn,80.76923076923077,47.94259471871412
DS Kulkarni,98.7907268170426,56.40847107106786
DS Lehmann,80.88235294117646,47.9957356076759
FY Fazal,97.54745733194008,55.82442601145637
GB Hogg,79.0909090909091,47.154177166117464
GC Smith,90.9472856690325,52.72389334456554
H Klaasen,87.5,51.1044776119403
IS Sodhi,45.83333333333333,31.530916844349676
J Botha,120.07867397005136,66.40881332426804
J Theron,100.0,56.97654584221748
JC Archer,132.3980648980649,72.1960376510483
JC Buttler,145.49278829351144,78.34748638982184
JD Unadkat,70.88522588522588,43.29943063333255
JDP Oram,0.0,10.0
JP Faulkner,141.9950912056175,76.70438911390542
K Gowtham,150.04901960784315,80.48784648187633
KK Cooper,160.2859477124183,85.29680170575692
KK Nair,121.25349389247626,66.96070314368947
KW Richardson,50.0,33.488272921108745
Kamran Akmal,168.84259259259258,89.31641791044775
Kamran Khan,60.0,38.18592750533048
Kartik Tyagi,66.66666666666666,41.31769722814498
LA Carseldine,124.98366013071896,68.7130063965885
LRPL Taylor,121.75856307435255,67.19796719944851
LS Livingstone,128.15934065934067,70.20483141591883
M Kaif,99.63815789473684,56.80656491976208
M Morkel,74.07407407407408,44.79744136460554
M Rawat,74.32456140350877,44.91511165974638
MDKJ Perera,62.5,39.360341151385924
MJ Lumb,118.98469474672683,65.89489967291865
MK Lomror,120.6196581196581,66.66294899130719
MM Patel,71.01190476190476,43.35893999390801
ND Doshi,0.0,10.0
NV Ojha,101.40508206494697,57.63660486257807
Niraj Patel,103.79186602870813,58.75783352546903
OA Shah,123.03988476789284,67.79988787220074
P Chopra,133.33333333333331,72.63539445628996
P Dogra,87.22222222222221,50.97398720682302
PC Valthaty,45.714285714285715,31.474992385013707
PR Shah,100.0,56.97654584221748
PV Tambe,71.9047619047619,43.7783734389278
Pankaj Singh,76.66666666666666,46.01535181236673
R Bhatia,170.46130952380952,90.0768352116966
R Dravid,107.36820865536862,60.43787575895695
R Parag,98.07671258028198,56.073051845816046
R Shukla,50.0,33.488272921108745
R Tewatia,134.1883764076216,73.03706415805371
RA Jadeja,109.45134351164467,61.41646055967069
RA Tripathi,121.82216728097735,67.22784625873118
RJ Quiney,114.31006493506493,63.69892005648934
RV Uthappa,130.882641464538,71.48414406709384
S Gopal,102.41071428571429,58.109016143770944
S Narwal,76.66666666666667,46.01535181236673
S Sreesanth,50.0,33.488272921108745
SA Asnodkar,118.91588910357873,65.86257715842316
SD Chitnis,77.77777777777779,46.53731343283582
SK Trivedi,66.45330859616574,41.217468976348044
SK Warne,83.27722194749465,49.12076234429002
SM Harwood,92.85714285714286,53.62107828205909
SP Goswami,79.3859649122807,47.29278419930423
SPD Smith,116.64125711429547,64.79403361923576
SR Watson,129.12151749284632,70.65682885719382
STR Binny,110.00532666824347,61.676702711188476
SV Samson,116.8203442387778,64.87816256436572
SW Tait,67.22222222222221,41.57867803837952
Sachin Baby,57.14285714285714,36.843740481267126
Sohail Tanvir,125.83333333333333,69.11215351812365
T Henderson,40.0,28.79061833688699
T Kohli,80.76923076923077,47.94259471871412
TG Southee,131.66666666666666,71.85245202558633
TK Curran,191.58496732026146,100.0
UBT Chand,30.0,24.09296375266524
VR Aaron,30.952380952380953,24.540359427353028
VS Malik,50.0,33.488272921108745
YBK Jaiswal,64.81481481481482,40.44776119402985
YK Pathan,138.9410055087245,75.26968514644388
Younis Khan,42.857142857142854,30.13280536095035
