Source,avgstr,normstr
A Zampa,71.42857142857143,37.55102040816327
AB Dinda,100.0,48.57142857142857
AM Rahane,97.36680609552127,47.55576806541534
Ankit Sharma,162.5,72.67857142857142
BA Stokes,122.0812337172631,57.0884758623729
DL Chahar,233.33333333333334,100.0
DT Christian,156.75925925925924,70.4642857142857
F du Plessis,114.28571428571428,54.08163265306122
Imran Tahir,0.0,10.0
JD Unadkat,60.0,33.14285714285714
LH Ferguson,100.0,48.57142857142857
MA Agarwal,81.28654970760233,41.35338345864662
MK Tiwary,134.48366674955304,61.87227146054188
MS Dhoni,107.75859730644105,51.564030389627256
R Bhatia,100.0,48.57142857142857
RA Tripathi,128.1405708281124,59.425648747986216
RD Chahar,150.0,67.85714285714286
SN Thakur,0.0,10.0
SPD Smith,123.63798030071614,57.68893525884765
Washington Sundar,100.0,48.57142857142857
