Source,avgstr,normstr
A Zampa,0.0,10.0
AM Rahane,100.99227424512858,58.119848316796556
Ankit Sharma,100.0,57.64705882352941
F du Plessis,110.86952266173701,62.82606668000411
GJ Bailey,80.93965975544923,48.565367295243455
IK Pathan,88.88888888888887,52.35294117647058
JA Morkel,188.88888888888889,100.0
KP Pietersen,95.79109062980031,55.64163730008132
M Ashwin,0.0,10.0
MR Marsh,63.63636363636363,40.32085561497326
MS Dhoni,136.49621212121212,75.03643048128342
NLTC Perera,164.93722943722946,88.58773873185639
PSP Handscomb,50.0,33.82352941176471
R Ashwin,77.66666666666667,47.00588235294118
R Bhatia,133.1818181818182,73.4572192513369
SPD Smith,139.9226628320705,76.66903346704535
SS Tiwary,106.26338132152087,60.63137580613641
UT Khawaja,148.10685923114764,80.56856233954682
