Source,avgstr,normstr
A Choudhary,163.88888888888889,72.10526315789474
A Kumble,111.96825396825399,52.43007518796993
A Mithun,123.80952380952381,56.9172932330827
A Mukund,90.9090909090909,44.44976076555024
AA Noffke,91.66666666666666,44.73684210526316
AB Dinda,33.333333333333336,22.631578947368425
AB McDonald,99.12280701754386,47.56232686980609
AB de Villiers,142.54001341807802,64.0151629794822
AD Nath,95.07142857142857,46.02706766917293
AF Milne,43.05555555555555,26.31578947368421
AJ Finch,112.89713961826943,52.78207396060736
AN Ahmed,237.5,100.0
AUK Pathan,122.85714285714286,56.55639097744361
Abdur Razzak,0.0,10.0
B Akhil,115.73809523809523,53.85864661654135
B Chipli,81.70995670995671,40.96377306903623
BB McCullum,119.80131362889983,55.39839253305678
C de Grandhomme,127.7592495331466,58.4140314020345
CA Pujara,80.51053113553112,40.50925390399074
CH Gayle,133.10445482871754,60.43958288246138
CH Morris,125.5,57.5578947368421
CJ Anderson,46.79487179487179,27.732793522267205
CJ Jordan,100.0,47.89473684210526
CK Langeveldt,100.0,47.89473684210526
CL White,128.80568632954035,58.81057587224687
CR Woakes,62.5,33.68421052631579
D Padikkal,109.28638860165059,51.41378936483601
D Wiese,135.47916666666666,61.339473684210525
D du Preez,76.92307692307693,39.14979757085021
DJG Sammy,72.22222222222223,37.36842105263158
DL Vettori,85.16117216117216,42.271602082128396
DT Christian,67.85714285714286,35.71428571428572
DT Patil,237.5,100.0
DW Steyn,45.83333333333333,27.36842105263158
EJG Morgan,103.27380952380952,49.13533834586466
Gurkeerat Singh,120.74527665317137,55.756104836991256
H Klaasen,100.0,47.89473684210526
HV Patel,127.84090909090908,58.44497607655502
I Udana,108.33333333333333,51.05263157894736
Iqbal Abdulla,120.52100840336136,55.67111897390536
J Arunkumar,64.81481481481481,34.56140350877193
J Syed Mohammad,152.36363636363637,67.73779904306221
JA Morkel,119.16483516483518,55.15720069404281
JD Ryder,61.47619047619047,33.296240601503754
JD Unadkat,100.0,47.89473684210526
JH Kallis,102.85957604563666,48.97836565939916
JJ van der Wath,72.12121212121211,37.33014354066985
JR Philippe,75.58080808080808,38.641148325358856
KB Arun Karthik,106.66666666666667,50.421052631578945
KD Karthik,138.81494369532643,62.60355761086054
KK Nair,50.0,28.94736842105263
KL Rahul,142.54080872682286,64.01546435963814
KM Jadhav,130.8457551220709,59.58365457257423
KP Appanna,83.33333333333333,41.578947368421055
KP Pietersen,115.0037623664965,53.580373107303934
KV Sharma,33.33333333333333,22.63157894736842
KW Richardson,100.0,47.89473684210526
LA Pomersbach,111.66666666666666,52.315789473684205
LRPL Taylor,131.2636425388402,59.74201190945523
M Ashwin,50.0,28.94736842105263
M Kaif,114.43939393939392,53.36650717703349
M Kartik,50.0,28.94736842105263
M Muralitharan,37.5,24.210526315789473
M Vohra,82.55131964809384,41.28260534033029
MA Agarwal,110.97727401955342,52.05454594425182
MA Starc,105.2352858139303,49.878634624226216
MC Henriques,144.70662131607975,64.83619334083022
MK Pandey,95.45422760432902,46.17212835532468
MM Ali,119.34099453056415,55.223955822108515
MP Stoinis,116.02029734970913,53.9655863641003
MS Bisla,123.21428571428571,56.69172932330827
MV Boucher,117.1254308250831,54.38437378634728
Mandeep Singh,112.96973419791256,52.809583485524755
Misbah-ul-Haq,108.5297619047619,51.12706766917293
Mohammed Siraj,100.28964862298194,48.004498425551056
NA Saini,92.97619047619047,45.233082706766915
NJ Maddinson,91.26984126984127,44.58646616541353
P Kumar,107.23093189845108,50.63487945625514
P Negi,104.20247839498411,49.487254970730824
P Parameswaran,50.0,28.94736842105263
P Ray Barman,80.0,40.315789473684205
PA Patel,123.137641596988,56.66268523675335
Pankaj Singh,50.0,28.94736842105263
Parvez Rasool,111.11111111111111,52.10526315789474
Q de Kock,120.73452878890184,55.752031962110166
R Bishnoi,59.523809523809526,32.55639097744361
R Dravid,106.95737115881784,50.531214333867815
R Ninan,66.66666666666666,35.26315789473684
R Rampaul,76.13378684807256,38.85069817400644
R Vinay Kumar,139.17708488829177,62.74079006293162
RE van der Merwe,107.29219563068892,50.65809518636633
RR Bhatkal,0.0,10.0
RR Rossouw,84.79296066252587,42.13206930369402
RV Uthappa,125.45813774652989,57.54203114605343
S Aravind,99.54166666666666,47.72105263157894
S Badree,45.5,27.242105263157892
S Chanderpaul,76.85185185185186,39.12280701754386
S Dube,117.55661005661005,54.54776802145223
S Rana,107.45464852607711,50.71965628356607
S Sriram,112.90322580645163,52.784380305602724
SA Abbott,95.83333333333334,46.31578947368421
SB Joshi,50.0,28.94736842105263
SN Khan,138.92071980307273,62.64364118853282
SO Hetmyer,70.08888888888889,36.56
SP Goswami,84.40526843132194,41.985154352922
SR Watson,96.57878808498005,46.5982775900977
SS Tiwary,102.21256503040391,48.73318253783727
STR Binny,139.8337858535227,62.98964516554545
Sachin Baby,120.9339291731765,55.827594212993205
Shahbaz Ahmed,100.0,47.89473684210526
TG Southee,94.16289592760181,45.68278161467016
TM Dilshan,92.11676089510468,44.907404128671246
TM Head,110.00580808080808,51.686411483253586
TS Mills,91.11111111111113,44.52631578947369
UT Yadav,82.27272727272727,41.177033492822964
V Kohli,119.18225891145748,55.16380337697336
VH Zol,111.3095238095238,52.180451127819545
VR Aaron,130.51136363636363,59.456937799043054
Vishnu Vinod,90.55555555555556,44.31578947368421
W Jaffer,90.41103603603605,44.261024182076824
Washington Sundar,132.74414730006836,60.30304529265749
YS Chahal,66.35487528344672,35.14500537056928
YV Takawale,79.49853504620239,40.12576064908722
Yuvraj Singh,113.25884036598322,52.91913950710943
Z Khan,79.33150183150181,40.06246385193753
