Source,avgstr,normstr
A Ashish Reddy,140.0270562770563,60.40974025974026
A Mishra,106.21524309024309,48.23748751248751
A Nehra,100.0,46.0
AD Hales,116.9622507122507,52.10641025641025
AJ Finch,121.65871303388833,53.7971366921998
AP Tare,42.857142857142854,25.42857142857143
Abdul Samad,163.27380952380955,68.77857142857144
Abhishek Sharma,127.02564102564102,55.72923076923077
B Kumar,97.12734025234026,44.9658424908425
B Stanlake,250.0,100.0
BB Samantray,112.20238095238096,50.392857142857146
BB Sran,133.33333333333334,58.0
BCJ Cutting,165.09997938569364,69.43599257884972
Basil Thampi,75.0,37.0
Bipul Sharma,143.553841991342,61.67938311688313
CJ Jordan,0.0,10.0
CL White,81.7392783311437,39.42614019921173
CR Brathwaite,145.18939393939394,62.26818181818182
DA Warner,138.38649629225873,59.81913866521314
DB Ravi Teja,92.85714285714286,43.42857142857143
DJ Hooda,120.07138552642937,53.22569878951457
DJG Sammy,127.99633764546044,56.078681552365765
DW Steyn,126.83552558552559,55.660789210789204
EJG Morgan,112.42266593584424,50.472159736903926
GH Vihari,86.35167739860223,41.086603863496805
IK Pathan,113.93217893217893,51.015584415584414
JM Bairstow,121.61301929817066,53.78068694734144
JO Holder,128.74242424242425,56.347272727272724
KC Sangakkara,85.41433239962652,40.74915966386555
KK Ahmed,0.0,10.0
KL Rahul,99.19762179219416,45.711143845189895
KS Williamson,125.58703204871568,55.211331537537646
KV Sharma,122.64563565217162,54.15242883478179
MC Henriques,119.81860555191238,53.13469799868846
MJ Guptill,152.09070106095277,64.752652381943
MK Pandey,109.90194797334127,49.56470127040286
MR Marsh,0.0,10.0
Mohammad Nabi,148.13575313575313,63.32887112887113
NLTC Perera,128.76011992741317,56.35364317386875
NV Ojha,123.54611296466501,54.476600667279406
P Kumar,64.58333333333334,33.25
PA Patel,101.72484111943798,46.620942802997675
PA Reddy,80.68779417925528,39.047605904531906
PK Garg,100.5558608058608,46.20010989010989
Parvez Rasool,100.0,46.0
Q de Kock,55.55555555555554,29.999999999999996
RK Bhui,30.76923076923077,21.076923076923077
RS Bopara,104.07226788805735,47.46601643970065
Rashid Khan,121.4840956145304,53.73427442123094
S Anirudha,60.0,31.599999999999998
S Dhawan,114.74104336486363,51.30677561135091
S Kaul,24.444444444444446,18.8
S Nadeem,83.33333333333333,40.0
SP Goswami,90.66666666666666,42.64
Sandeep Sharma,65.0,33.400000000000006
Shakib Al Hasan,118.86740342069842,52.79226523145143
T Natarajan,37.5,23.5
V Shankar,121.20540924612332,53.6339473286044
WP Saha,127.81124515543685,56.01204825595727
X Thalaivan Sargunam,58.82352941176471,31.176470588235297
Y Venugopal Rao,179.16666666666666,74.5
YK Pathan,111.68012585611268,50.20484530820057
Yuvraj Singh,115.7336813886487,51.664125299913536
