Source,avgrr,b1,normrr
A Flintoff,9.13888888888889,A Flintoff,80.16018016364558
A Nehra,7.56009829059829,A Nehra,91.39301504083593
AS Rajpoot,9.605263157894736,AS Rajpoot,76.8420041114287
B Laughlin,9.464285714285715,B Laughlin,77.84503538560978
BW Hilfenhaus,7.596476583094496,BW Hilfenhaus,91.13418948590392
C Ganapathy,13.0,C Ganapathy,52.689011029147736
CH Morris,8.080229419703105,CH Morris,87.69236778967618
CK Kapugedera,18.066666666666666,CK Kapugedera,16.64051282675632
DE Bollinger,7.235319138301595,DE Bollinger,93.70376517657441
DJ Bravo,8.110714553993086,DJ Bravo,87.47547108402117
DJ Hussey,12.666666666666668,DJ Hussey,55.06062275298927
DJ Willey,9.843333333333334,DJ Willey,75.14817405392712
DL Chahar,7.482612494264881,DL Chahar,91.94431370988246
DP Nannes,7.688868609651218,DP Nannes,90.47683544578972
DR Smith,9.22165991902834,DR Smith,79.57127792722608
F du Plessis,16.0,F du Plessis,31.344505514573868
Harbhajan Singh,8.128136299743105,Harbhajan Singh,87.35151823460959
IC Pandey,7.674425837320573,IC Pandey,90.57959339034211
Imran Tahir,7.502496229260934,Imran Tahir,91.80284421279127
JA Morkel,7.938949267811195,JA Morkel,88.69755278339508
JDP Oram,9.657109557109557,JDP Oram,76.47312552677818
JM Kemp,8.233082706766918,JM Kemp,86.60484184679142
JO Holder,9.803812415654521,JO Holder,75.42935886903926
JR Hazlewood,7.31,JR Hazlewood,93.17242315512283
JW Hastings,9.157894736842106,JW Hastings,80.02495668816337
Joginder Sharma,9.57867774788141,Joginder Sharma,77.0311549216409
KM Asif,11.842105263157894,KM Asif,60.9272412277552
KMDN Kulasekara,6.704994152046784,KMDN Kulasekara,97.47694004111845
KV Sharma,9.356728898896082,KV Sharma,78.61028439868113
L Balaji,8.642881371502062,L Balaji,83.68919189368998
L Ngidi,7.413492822966506,L Ngidi,92.43608877828036
M Muralitharan,6.350374558190348,M Muralitharan,100.0
M Ntini,7.198888888888888,M Ntini,93.96296039640336
MA Wood,12.0,MA Wood,59.80384620067235
MJ Santner,7.32051282051282,MJ Santner,93.09762616998628
MM Sharma,7.7967422945131934,MM Sharma,89.70933195865177
MS Gony,8.789794308255846,MS Gony,82.64393056412219
Monu Kumar,7.5,Monu Kumar,91.82060447253315
NLTC Perera,19.0,NLTC Perera,10.0
P Amarnath,11.027777777777779,P Amarnath,66.72104706187685
P Negi,8.739795321637427,P Negi,82.9996651126555
PP Chawla,8.974761904761904,PP Chawla,81.32791660290852
R Ashwin,6.725389079627602,R Ashwin,97.33183349304575
RA Jadeja,8.076221771755753,RA Jadeja,87.72088154424709
RG More,10.836538461538462,RG More,68.08168327523465
S Badree,7.254561403508773,S Badree,93.56685963129857
S Randiv,7.393585164835165,S Randiv,92.57772848453592
S Tyagi,8.550651629072682,S Tyagi,84.34539130898719
S Vidyut,10.153846153846153,S Vidyut,72.9389265173332
SB Jakati,8.061150753486283,SB Jakati,87.8281093551014
SB Styris,13.0,SB Styris,52.689011029147736
SC Kuggeleijn,8.52,SC Kuggeleijn,84.56347259757804
SK Raina,7.430638821481819,SK Raina,92.3140978249927
SM Curran,7.7948414803587225,SM Curran,89.72285593805253
SN Thakur,8.805652054039154,SN Thakur,82.53110531668202
SR Watson,8.841037909458963,SR Watson,82.27934078796667
T Thushara,6.779273504273505,T Thushara,96.94845469337771
TG Southee,8.539076923076923,TG Southee,84.42774343430588
V Shankar,19.0,V Shankar,10.0
VY Mahesh,9.175595238095237,VY Mahesh,79.89902053929399
