Source,avgrr,b1,normrr
A Ashish Reddy,8.60490713964398,A Ashish Reddy,87.41854192255397
A Mishra,7.554485320443967,A Mishra,93.0678368895953
A Symonds,8.011044109351642,A Symonds,90.6124087737752
AA Jhunjhunwala,7.888888888888889,AA Jhunjhunwala,91.26937425139981
Anand Rajan,8.367016317016317,Anand Rajan,88.69794739796507
Ankit Sharma,7.524179894179895,Ankit Sharma,93.23082311944917
B Chipli,20.0,B Chipli,26.134361064616144
CL White,7.75,CL White,92.0163354117987
D Kalyankrishna,10.666666666666666,D Kalyankrishna,76.3301510434219
DB Ravi Teja,9.25,DB Ravi Teja,83.94915487949064
DJ Harris,9.25,DJ Harris,83.94915487949064
DNT Zoysa,8.952429149797572,DNT Zoysa,85.5495267259809
DP Vijaykumar,8.114915556866022,DP Vijaykumar,90.05377562760809
DR Smith,9.995701357466064,DR Smith,79.93868323024668
DT Christian,7.688263286421183,DT Christian,92.34836288773985
DW Steyn,6.265528835094052,DW Steyn,100.0
FH Edwards,6.331141901576685,FH Edwards,99.64712503160418
Harmeet Singh,8.253018602970144,Harmeet Singh,89.31104082428567
I Malhotra,23.0,I Malhotra,10.0
I Sharma,7.0880668016194335,I Sharma,95.57629181957479
J Theron,7.736111111111112,J Theron,92.0910315278386
JP Duminy,8.175751879699247,JP Duminy,89.72659056146315
Jaskaran Singh,10.267911345492253,Jaskaran Singh,78.47470515284355
KAJ Roach,9.23076923076923,KAJ Roach,84.05258027093049
LPC Silva,21.0,LPC Silva,20.75624070974409
MR Marsh,8.404558404558403,MR Marsh,88.49604153279058
MS Gony,9.15866096866097,MS Gony,84.44038718312937
PM Sarvesh Kumar,8.289473684210526,PM Sarvesh Kumar,89.11498100982826
PP Ojha,7.362578502481354,PP Ojha,94.09993485351875
R Sharma,8.037525252525251,R Sharma,90.46998999865292
RG Sharma,7.767489790910845,RG Sharma,91.92227321129863
RJ Harris,7.33399263382816,RJ Harris,94.25367309558419
RP Singh,7.929486316119781,RP Singh,91.0510364016539
S Dhawan,8.467948717948717,S Dhawan,88.15512079804442
SB Bangar,9.505128205128205,SB Bangar,82.57704468638866
SB Styris,7.3317152496626194,SB Styris,94.26592114172074
Shahid Afridi,8.456666666666667,Shahid Afridi,88.21579702768912
Shoaib Ahmed,10.517543859649123,Shoaib Ahmed,77.1321514472186
TL Suman,9.485850340136055,TL Suman,82.68072336450142
TP Sudhindra,11.114515050167226,TP Sudhindra,73.921568536221
V Pratap Singh,8.650629779577148,V Pratap Singh,87.17264006205092
WPUJC Vaas,7.61791722896986,WPUJC Vaas,92.7266924512038
Y Venugopal Rao,9.304145253242996,Y Venugopal Rao,83.65795519090477
