Source,avgrr,b1,normrr
A Mishra,6.710824175824177,A Mishra,100.0
A Nortje,8.573774801587302,A Nortje,64.9198946394289
AR Patel,6.958213969938107,AR Patel,95.34155123456819
Avesh Khan,9.776842105263157,Avesh Khan,42.26565615067713
CH Morris,9.207423901634428,CH Morris,52.988028660866675
DR Sams,8.937321937321938,DR Sams,58.074156674752174
GH Vihari,9.0,GH Vihari,56.89390368675782
HV Patel,8.432276295133438,HV Patel,67.58436810754978
I Sharma,7.515774463631606,I Sharma,84.84246414488868
J Suchith,7.0,J Suchith,94.55470357639649
K Rabada,8.080029663822767,K Rabada,74.21731305434501
KMA Paul,8.130910931174089,KMA Paul,73.25919844042035
MM Sharma,10.8,MM Sharma,22.999183786082995
MP Stoinis,8.947742655455208,MP Stoinis,57.87793038459047
P Dubey,8.777777777777779,P Dubey,61.07843700782877
R Ashwin,7.690444444444444,R Ashwin,81.55335854782902
R Tewatia,7.385964912280702,R Tewatia,87.28682991348376
S Lamichhane,9.291666666666666,S Lamichhane,51.40170370285218
SE Rutherford,7.233333333333333,SE Rutherford,90.16094358927198
TA Boult,8.328842105263158,TA Boult,69.53207527077551
TU Deshpande,11.490329670329672,TU Deshpande,10.0
