Source,avgrr,b1,normrr
A Mishra,7.521283614227083,A Mishra,92.79391972208224
A Nehra,7.271841569736307,A Nehra,93.97548730124907
AB Agarkar,8.657648737227683,AB Agarkar,87.41113756050045
AB Dinda,8.427043478260869,AB Dinda,88.50347826086957
AB McDonald,9.535555555555556,AB McDonald,83.25263157894736
AD Mathews,8.078377192982456,AD Mathews,90.15505540166205
AD Russell,9.992631578947368,AD Russell,81.08753462603879
AJ Finch,6.0,AJ Finch,100.0
AM Salvi,8.109843840370157,AM Salvi,90.00600286140451
Avesh Khan,11.627017543859651,Avesh Khan,73.34570637119113
B Geeves,11.125,B Geeves,75.72368421052632
BJ Rohrer,10.285714285714285,BJ Rohrer,79.69924812030075
BMAJ Mendis,7.666666666666666,BMAJ Mendis,92.10526315789474
CH Morris,7.802395064584539,CH Morris,91.46233916775745
CJ Anderson,9.117167146578911,CJ Anderson,85.234471410942
CJ Dala,10.736842105263158,CJ Dala,77.5623268698061
CR Brathwaite,8.684190283400811,CR Brathwaite,87.2854144470488
DAJ Bracewell,7.68,DAJ Bracewell,92.0421052631579
DJ Muthuswami,8.333333333333334,DJ Muthuswami,88.94736842105263
DL Vettori,8.001693363844394,DL Vettori,90.51829459231602
DP Nannes,6.944891945998665,DP Nannes,95.52419604526948
DT Christian,8.66304347826087,DT Christian,87.38558352402745
GD McGrath,6.767142857142858,GD McGrath,96.36616541353384
GJ Maxwell,8.201441102756892,GJ Maxwell,89.5721210922042
GS Sandhu,10.75,GS Sandhu,77.5
HV Patel,9.433333333333334,HV Patel,83.73684210526315
IK Pathan,7.6783305271726325,IK Pathan,92.05001329234017
Imran Tahir,8.499671052631578,Imran Tahir,88.15945290858726
J Botha,8.296410460884145,J Botha,89.12226623791722
J Yadav,6.158461538461539,J Yadav,99.2493927125506
JA Morkel,9.166666666666666,JA Morkel,85.0
JD Unadkat,8.807636363636364,JD Unadkat,86.70066985645933
JDS Neesham,11.835714285714285,JDS Neesham,72.35714285714286
JP Duminy,7.84978315018315,JP Duminy,91.23786928860613
JR Hopes,8.467076023391813,JR Hopes,88.31385041551246
K Rabada,8.652022792022793,K Rabada,87.43778677462888
KP Pietersen,7.9282051282051285,KP Pietersen,90.8663967611336
LE Plunkett,9.32952380952381,LE Plunkett,84.22857142857143
LR Shukla,10.826153846153847,LR Shukla,77.13927125506072
M Morkel,7.532785532785532,M Morkel,92.73943694996328
M Vijay,13.0,M Vijay,66.84210526315789
MC Henriques,8.75,MC Henriques,86.97368421052632
MF Maharoof,7.415296849550932,MF Maharoof,93.29596229160084
MK Tiwary,12.5,MK Tiwary,69.21052631578948
MN Samuels,11.5,MN Samuels,73.94736842105263
Mohammad Asif,9.218931623931624,Mohammad Asif,84.75242914979756
Mohammed Shami,9.153608633376102,Mohammed Shami,85.06185384190267
NM Coulter-Nile,7.442484306629044,NM Coulter-Nile,93.16717960017822
P Negi,8.634572649572648,P Negi,87.52044534412956
PD Collingwood,7.055982905982905,PD Collingwood,94.99797570850203
PJ Cummins,8.078235653235655,PJ Cummins,90.15572585309427
PJ Sangwan,8.131574565048691,PJ Sangwan,89.90306784976936
R Bhatia,8.52895631936985,R Bhatia,88.02073322403754
R Sharma,10.833333333333332,R Sharma,77.10526315789474
R Shukla,11.444444444444445,R Shukla,74.21052631578948
R Tewatia,8.158333333333333,R Tewatia,89.77631578947368
RE van der Merwe,6.182616323417239,RE van der Merwe,99.13497531012887
S Kaul,8.408424039728386,S Kaul,88.5916756012866
S Ladda,10.169999999999998,S Ladda,80.24736842105264
S Lamichhane,7.046666666666667,S Lamichhane,95.0421052631579
S Nadeem,7.602846849849525,S Nadeem,92.40756755334435
S Sriram,25.0,S Sriram,10.0
Shoaib Malik,8.925714285714287,Shoaib Malik,86.14135338345864
Sunny Gupta,14.842105263157896,Sunny Gupta,58.11634349030471
TA Boult,8.705193597946131,TA Boult,87.18592506236044
TM Dilshan,7.699704142011834,TM Dilshan,91.94876985362816
UT Yadav,8.072397088037818,UT Yadav,90.18338221455771
V Sehwag,10.519047619047619,V Sehwag,78.59398496240601
V Shankar,10.7,V Shankar,77.73684210526316
VR Aaron,8.082717282717281,VR Aaron,90.1344970818655
VY Mahesh,8.91393691328914,VY Mahesh,86.19714093705144
WD Parnell,7.416214063714064,WD Parnell,93.29161759293338
Y Nagar,10.665750915750916,Y Nagar,77.89907460960092
Y Venugopal Rao,13.0,Y Venugopal Rao,66.84210526315789
Yuvraj Singh,8.257936507936508,Yuvraj Singh,89.30451127819549
Z Khan,7.1385554718186315,Z Khan,94.60684250191174
