Source,avgrr,b1,normrr
AJ Tye,7.12,AJ Tye,70.88141592920354
Ankit Soni,8.844966261808366,Ankit Soni,53.021145784816035
Basil Thampi,9.197520128824475,Basil Thampi,49.37080928562269
DJ Bravo,8.701264957264957,DJ Bravo,54.50902654867257
DR Smith,11.368672888858649,DR Smith,26.890732035711338
DS Kulkarni,8.146817813765182,DS Kulkarni,60.24976245924547
DW Steyn,7.846153846153847,DW Steyn,63.36283185840708
IK Pathan,13.0,IK Pathan,10.0
JP Faulkner,9.92733606263018,JP Faulkner,41.8143080240946
MM Patel,8.166666666666668,MM Patel,60.04424778761061
MS Gony,12.8,MS Gony,12.070796460176979
NB Singh,4.307692307692308,NB Singh,100.0
P Kumar,8.006210223307043,P Kumar,61.70561096221911
PJ Sangwan,10.513296703296703,PJ Sangwan,35.74728192161821
PV Tambe,9.585164835164834,PV Tambe,45.35714285714286
RA Jadeja,8.936848242255483,RA Jadeja,52.06980138549633
S Kaushik,9.349315789473684,S Kaushik,47.79911970190965
S Ladda,10.5,S Ladda,35.88495575221239
SB Jakati,9.148574561403509,SB Jakati,49.87759082440615
SK Raina,8.413461538461538,SK Raina,57.48893805309735
SS Agarwal,10.5,SS Agarwal,35.88495575221239
Tejas Baroka,9.428571428571429,Tejas Baroka,46.97850821744627
