Source,avgrr,b1,normrr
AC Gilchrist,0.0,AC Gilchrist,100.0
AD Mascarenhas,6.692,AD Mascarenhas,66.53999999999999
AJ Tye,8.551181255526084,AJ Tye,57.244093722369584
AM Nayar,9.816326530612246,AM Nayar,50.91836734693877
AR Patel,7.6290304397910536,AR Patel,61.854847801044734
AS Rajpoot,9.10801282051282,AS Rajpoot,54.45993589743589
Anureet Singh,8.961925647693663,Anureet Singh,55.190371761531686
Arshdeep Singh,9.310299349773032,Arshdeep Singh,53.44850325113484
Azhar Mahmood,7.508089203286832,Azhar Mahmood,62.45955398356584
B Lee,7.224502842557142,B Lee,63.87748578721429
BA Bhatt,8.028031617505302,BA Bhatt,59.85984191247349
BB Sran,9.872951609793715,BB Sran,50.63524195103143
BE Hendricks,8.873851294903927,BE Hendricks,55.63074352548036
Bipul Sharma,8.578327228327227,Bipul Sharma,57.108363858363866
CH Gayle,6.0,CH Gayle,70.0
CJ Jordan,9.368108509847639,CJ Jordan,53.1594574507618
CV Varun,11.666666666666666,CV Varun,41.66666666666666
DJ Hooda,10.0,DJ Hooda,50.0
DJ Hussey,9.436086691086691,DJ Hussey,52.81956654456654
GC Viljoen,9.39511396011396,GC Viljoen,53.024430199430206
GJ Maxwell,9.021322001585158,GJ Maxwell,54.89338999207421
Gagandeep Singh,10.166666666666668,Gagandeep Singh,49.16666666666666
Gurkeerat Singh,7.2022588522588515,Gurkeerat Singh,63.98870573870575
Harmeet Singh,8.181221550379444,Harmeet Singh,59.093892248102776
Harpreet Brar,9.946666666666667,Harpreet Brar,50.266666666666666
I Sharma,10.254873294346979,I Sharma,48.72563352826511
IK Pathan,7.829458224387937,IK Pathan,60.85270887806031
J Theron,7.856190476190476,J Theron,60.71904761904762
JDS Neesham,9.086105263157895,JDS Neesham,54.56947368421052
JP Faulkner,9.035,JP Faulkner,54.825
JR Hopes,9.629930069930069,JR Hopes,51.85034965034966
K Goel,8.617521367521368,K Goel,56.91239316239316
K Gowtham,10.5,K Gowtham,47.5
KC Cariappa,8.615246663667715,KC Cariappa,56.92376668166143
KJ Abbott,10.678857142857142,KJ Abbott,46.60571428571429
Karanveer Singh,9.472380952380952,Karanveer Singh,52.63809523809525
L Ablish,9.816849816849816,L Ablish,50.91575091575092
L Balaji,8.725690508322087,L Balaji,56.371547458389564
M Ashwin,7.782385112579019,M Ashwin,61.08807443710491
M Kartik,11.120000000000001,M Kartik,44.39999999999999
M Vijay,8.063492063492063,M Vijay,59.682539682539684
MG Johnson,8.518490089645454,MG Johnson,57.40754955177273
MG Neser,14.879999999999999,MG Neser,25.599999999999994
MJ Henry,14.397435897435898,MJ Henry,28.01282051282051
MK Tiwary,8.571428571428571,MK Tiwary,57.142857142857146
MM Sharma,8.941663997968345,MM Sharma,55.291680010158274
MP Stoinis,9.679055651950389,MP Stoinis,51.60472174024806
MS Gony,9.44017094017094,MS Gony,52.799145299145295
Mandeep Singh,13.0,Mandeep Singh,35.0
Mohammed Shami,8.555869963369963,Mohammed Shami,57.220650183150184
Mujeeb Ur Rahman,8.02079772079772,Mujeeb Ur Rahman,59.8960113960114
NJ Rimmington,6.666666666666667,NJ Rimmington,66.66666666666666
NLTC Perera,9.46,NLTC Perera,52.7
P Awana,8.20002886002886,P Awana,58.9998556998557
P Kumar,6.91830286672392,P Kumar,65.4084856663804
P Sahu,8.894333333333332,P Sahu,55.528333333333336
PC Valthaty,9.281615384615385,PC Valthaty,53.591923076923074
PP Chawla,8.066985168136018,PP Chawla,59.665074159319914
R Ashwin,7.482760668369912,R Ashwin,62.58619665815044
R Dhawan,7.766042317331791,R Dhawan,61.169788413341045
R McLaren,10.280584795321637,R McLaren,48.597076023391814
R Sathish,13.0,R Sathish,35.0
R Tewatia,5.98888888888889,R Tewatia,70.05555555555554
RJ Harris,7.686517556517557,RJ Harris,61.56741221741222
RR Bose,12.0,RR Bose,40.0
RR Powar,7.41398943023003,RR Powar,62.93005284884985
RS Bopara,7.898979591836735,RS Bopara,60.505102040816325
Ravi Bishnoi,7.2190109890109895,Ravi Bishnoi,63.90494505494505
S Sreesanth,8.683517984503602,S Sreesanth,56.58241007748199
SJ Srivastava,8.718729603729603,SJ Srivastava,56.40635198135198
SM Curran,9.248319088319088,SM Curran,53.758404558404564
SN Khan,18.0,SN Khan,10.0
SN Thakur,11.7,SN Thakur,41.5
SS Cottrell,8.286190476190477,SS Cottrell,58.569047619047616
Sandeep Sharma,7.631195192651959,Sandeep Sharma,61.84402403674021
Shivam Sharma,8.983333333333334,Shivam Sharma,55.08333333333333
Swapnil Singh,8.487179487179487,Swapnil Singh,57.56410256410256
T Natarajan,9.273382173382174,T Natarajan,53.63308913308913
VR Aaron,7.459833270178098,VR Aaron,62.70083364910951
VRV Singh,9.17579365079365,VRV Singh,54.12103174603175
VS Malik,8.82419831630358,VS Malik,55.8790084184821
WA Mota,8.646530612244899,WA Mota,56.76734693877551
YA Abdulla,9.205019366598314,YA Abdulla,53.97490316700843
Yuvraj Singh,8.748058608058608,Yuvraj Singh,56.25970695970696
