Source,avgrr,b1,normrr
B Akhil,10.153846153846153,B Akhil,70.42662745214488
BJ Hodge,7.677884615384615,BJ Hodge,89.49507912975189
M Muralitharan,7.486,M Muralitharan,90.97286562170655
NLTC Perera,7.6325,NLTC Perera,89.8446057003084
P Parameswaran,9.485414585414585,P Parameswaran,75.57450833172601
P Prasanth,18.0,P Prasanth,10.0
R Vinay Kumar,7.3919189191570815,R Vinay Kumar,91.69742475397194
RA Jadeja,7.369965986394559,RA Jadeja,91.86649379283273
RP Singh,6.98543956043956,RP Singh,94.82789826466544
RR Powar,10.15,RR Powar,70.45624834795476
RV Gomez,9.49671052631579,RV Gomez,75.48751340071365
S Sreesanth,6.31386301158231,S Sreesanth,100.0
Y Gnaneswara Rao,7.0,Y Gnaneswara Rao,94.71576201624234
