Source,avgrr,b1,normrr
AB Agarkar,8.75322079021111,AB Agarkar,66.64660081942795
AB Dinda,7.118809630914894,AB Dinda,80.10233073095432
AD Mathews,9.03566689720536,AD Mathews,64.32128719888632
AD Russell,9.084223119417253,AD Russell,63.92153502643504
AS Rajpoot,8.236670074564813,AS Rajpoot,70.89924366012855
Anureet Singh,8.538461538461538,Anureet Singh,68.41466418041728
Azhar Mahmood,12.299999999999999,Azhar Mahmood,37.44678605354821
B Lee,7.46712766531714,B Lee,77.23470873292015
BAW Mendis,7.344285714285716,BAW Mendis,78.24603816828423
BJ Hodge,8.567765567765568,BJ Hodge,68.17341086946689
C Munro,7.5,C Munro,76.96407838722162
C de Grandhomme,9.683638583638585,C de Grandhomme,58.98668583290192
CH Gayle,9.259193894177173,CH Gayle,62.48104101476064
CJ Green,8.470588235294118,CJ Green,68.97344942269206
CK Langeveldt,7.017324561403509,CK Langeveldt,80.93783388915945
CR Brathwaite,9.7,CR Brathwaite,58.851986067621304
CR Woakes,8.419330327791867,CR Woakes,69.39544394668766
CV Varun,6.85,CV Varun,82.3153783907399
DJ Hussey,9.296947991279975,DJ Hussey,62.170220245592866
GB Hogg,8.34909090909091,GB Hogg,69.9737088721362
HF Gurney,8.40806342780027,HF Gurney,69.48820173432561
I Sharma,7.778185455367121,I Sharma,74.67384172832192
Iqbal Abdulla,6.755279440239396,Iqbal Abdulla,83.09519090117092
J Botha,9.29,J Botha,62.22742145445591
JD Unadkat,9.785736193630932,JD Unadkat,58.14613977026922
JH Kallis,7.565423320587796,JH Kallis,76.42546328615754
JO Holder,7.416072874493928,JO Holder,77.65503104416919
JPR Scantlebury-Searles,12.185185185185185,JPR Scantlebury-Searles,38.39202992881353
JW Hastings,4.701923076923077,JW Hastings,100.0
KC Cariappa,14.846153846153847,KC Cariappa,16.48488899834642
KL Nagarkoti,8.608262108262108,KL Nagarkoti,67.84001219669517
Kuldeep Yadav,8.463596648149892,Kuldeep Yadav,69.03100954624513
L Balaji,7.2392750183963,L Balaji,79.11056699487267
LH Ferguson,9.122574898785425,LH Ferguson,63.60579367709991
LR Shukla,8.607878787878787,LR Shukla,67.84316798495456
M Kartik,6.924856434793277,M Kartik,81.69910263724354
M Morkel,7.675167971287879,M Morkel,75.52196090203836
M Prasidh Krishna,9.126908135723925,M Prasidh Krishna,63.57011913733954
M de Lange,10.524366471734892,M de Lange,52.06516713978241
MB Parmar,10.421052631578949,MB Parmar,52.915726144690076
MC Henriques,12.189230769230768,MC Henriques,38.35872356894066
MG Johnson,9.841267942583732,MG Johnson,57.688959695859225
MK Tiwary,10.380952380952381,MK Tiwary,53.245862254411676
Mashrafe Mortaza,12.642857142857142,Mashrafe Mortaza,34.624122315428664
Mohammad Hafeez,8.268058608058608,Mohammad Hafeez,70.64082910721197
Mohammed Shami,8.53846153846154,Mohammed Shami,68.41466418041726
N Rana,8.037616229923923,N Rana,72.53800802863181
NM Coulter-Nile,7.8725,NM Coulter-Nile,73.89737184674384
PJ Cummins,8.116969989075253,PJ Cummins,71.88470684151535
PJ Sangwan,11.217142857142855,PJ Sangwan,46.36169902644239
PP Chawla,8.572751917471262,PP Chawla,68.132359403009
R Bhatia,7.4136875906808335,R Bhatia,77.6746685353652
R McLaren,12.138461538461538,R McLaren,38.77669493016219
R Sathish,9.507936507936508,R Sathish,60.43320047647529
R Vinay Kumar,10.241864801864802,R Vinay Kumar,54.39093819665892
RN ten Doeschate,6.828571428571429,RN ten Doeschate,82.49179487437236
RS Gavaskar,8.0,RS Gavaskar,72.84769376913064
S Ladda,9.936507936507937,S Ladda,56.90487080382588
S Narwal,7.285714285714285,S Narwal,78.72824322354633
S Sandeep Warrier,7.741071428571429,S Sandeep Warrier,74.97939294635631
SA Yadav,8.0,SA Yadav,72.84769376913064
SC Ganguly,8.683541666666667,SC Ganguly,67.22025296414876
SE Bond,7.190608974358975,SE Bond,79.51122330506983
SMSM Senanayake,6.50625,SMSM Senanayake,85.14539281567744
SP Narine,6.887036022113421,SP Narine,82.01046936725398
SS Sarkar,10.642857142857142,SS Sarkar,51.08966078779259
Shakib Al Hasan,7.233497449362111,Shakib Al Hasan,79.15813238747725
Shivam Mavi,8.629430552247891,Shivam Mavi,67.66573728227118
Shoaib Akhtar,7.619433198380567,Shoaib Akhtar,75.98081242581527
TA Boult,9.030641025641026,TA Boult,64.36266403968617
TK Curran,15.633846153846156,TK Curran,10.0
UT Yadav,8.695526643942099,UT Yadav,67.12158341193924
Umar Gul,7.780128205128206,Umar Gul,74.65784751785526
Y Prithvi Raj,10.811538461538461,Y Prithvi Raj,49.70094641663442
YK Pathan,7.954804918278603,YK Pathan,73.21977444755328
