Source,avgrr,b1,normrr
A Dananjaya,11.28,A Dananjaya,19.771428571428572
A Nehra,7.708015318196749,A Nehra,54.381963376478716
A Nel,10.333333333333334,A Nel,28.944099378881972
A Symonds,9.833333333333334,A Symonds,33.7888198757764
AG Murtaza,6.612499999999999,AG Murtaza,64.9968944099379
AM Nayar,9.101225285435813,AM Nayar,40.88253760695733
AM Rahane,5.0,AM Rahane,80.62111801242236
AN Ahmed,8.098311355311356,AN Ahmed,50.60021295474711
AS Joseph,10.44017094017094,AS Joseph,27.908902691511386
AS Roy,4.3999999999999995,AS Roy,86.43478260869566
BB Sran,12.288461538461538,BB Sran,10.0
BCJ Cutting,10.726666666666667,BCJ Cutting,25.13291925465839
C Nanda,6.2,C Nanda,68.99378881987577
CJ Anderson,9.7272990167727,CJ Anderson,34.81623312940738
CJ McKay,8.5,CJ McKay,46.70807453416149
CRD Fernando,7.415752136752138,CRD Fernando,57.21383022774326
DJ Bravo,7.833440588651115,DJ Bravo,53.16666261928112
DJ Thornely,6.5704887218045105,DJ Thornely,65.40396021108673
DR Smith,8.3803301152289,DR Smith,47.86760882138458
DS Kulkarni,8.204559540532754,DS Kulkarni,49.57072743334723
GJ Maxwell,12.0,GJ Maxwell,12.795031055900623
GR Napier,7.0,GR Napier,61.24223602484472
HH Pandya,8.725635425290223,HH Pandya,44.52179339470342
Harbhajan Singh,7.080223537699974,Harbhajan Singh,60.46491478998784
J Suchith,9.199985911524374,J Suchith,39.92560234796258
J Yadav,6.598684210526316,J Yadav,65.13076168682576
JDP Oram,6.461538461538462,JDP Oram,66.45962732919254
JEC Franklin,9.830415140415141,JEC Franklin,33.81709553386571
JJ Bumrah,7.34155388029621,JJ Bumrah,57.932769855514984
JL Pattinson,8.803964228753703,JL Pattinson,43.76283107542997
JP Behrendorff,8.659894736842105,JP Behrendorff,45.15878391631253
JP Duminy,7.107982456140351,JP Duminy,60.1959463877084
K Santokie,10.666666666666666,K Santokie,25.714285714285722
KA Pollard,8.92836236354543,KA Pollard,42.55748268862813
KH Pandya,7.458160060128022,KH Pandya,56.80292115652351
KV Sharma,7.245641351613892,KV Sharma,58.86210864274739
LMP Simmons,11.333333333333332,LMP Simmons,19.25465838509318
M Markande,8.869603420315494,M Markande,43.126824001911984
M de Lange,7.269230769230768,M de Lange,58.633540372670815
MA Khote,10.5,MA Khote,27.329192546583855
MG Johnson,7.012054962581278,MG Johnson,61.12543017623109
MJ McClenaghan,8.268241784169332,MJ McClenaghan,48.95368209127852
MM Patel,7.415069050926435,MM Patel,57.220448947545094
Mustafizur Rahman,8.277696216826651,Mustafizur Rahman,48.86207392391567
N Rana,3.0,N Rana,100.0
NLTC Perera,10.333333333333334,NLTC Perera,28.944099378881972
NM Coulter-Nile,7.377361111111111,NM Coulter-Nile,57.58581780538302
P Kumar,6.683333333333334,P Kumar,64.31055900621118
P Suyal,8.505263157894737,P Suyal,46.65707747629945
PJ Sangwan,10.0,PJ Sangwan,32.173913043478265
PP Ojha,7.88933174933175,PP Ojha,52.62510851579174
R Dhawan,7.142307692307692,R Dhawan,59.86335403726709
R McLaren,7.8559041835357615,R McLaren,52.949002942137966
R Sathish,8.36617987275882,R Sathish,48.00471676084621
R Shukla,10.105263157894736,R Shukla,31.153971886237343
R Vinay Kumar,8.086053368715907,R Vinay Kumar,50.71898599256636
RA Shaikh,11.0,RA Shaikh,22.484472049689444
RD Chahar,7.900167727009832,RD Chahar,52.52011394946995
RG Sharma,9.920329670329672,RG Sharma,32.94587400177461
RJ Peterson,7.8125,RJ Peterson,53.369565217391305
RP Singh,7.620964187327822,RP Singh,55.22544017247576
RR Raje,9.260797763639868,RR Raje,39.336369495166494
RW Price,11.0,RW Price,22.484472049689444
Rasikh Salam,9.333333333333334,Rasikh Salam,38.63354037267081
S Gopal,8.26923076923077,S Gopal,48.94409937888198
SD Chitnis,9.766153846153847,SD Chitnis,34.43975155279503
SL Malinga,6.99849847127623,SL Malinga,61.25678499881417
SM Pollock,7.0965452091767895,SM Pollock,60.30676691729322
SR Tendulkar,10.464285714285715,SR Tendulkar,27.675244010647717
ST Jayasuriya,8.31248478338704,ST Jayasuriya,48.52499216097029
STR Binny,9.0,STR Binny,41.86335403726707
TA Boult,7.721846153846154,TA Boult,54.247950310559006
TG Southee,7.761254142682715,TG Southee,53.86610892804326
TL Suman,9.055555555555555,TL Suman,41.325051759834366
VS Yeligati,12.257142857142856,VS Yeligati,10.303460514640648
YS Chahal,8.75,YS Chahal,44.28571428571428
Z Khan,7.383536676998215,Z Khan,57.52598002411668
