Source,avgrr,b1,normrr
A Nehra,8.494102564102564,A Nehra,60.96295546558705
AA Jhunjhunwala,10.214285714285715,AA Jhunjhunwala,48.7406015037594
AB Dinda,8.485586819613136,AB Dinda,61.023462071169824
AC Thomas,7.8555954965451535,AC Thomas,65.49971620875812
AD Mathews,7.963022434629084,AD Mathews,64.73641954342493
AG Murtaza,9.767692307692307,AG Murtaza,51.913765182186246
AJ Finch,14.5,AJ Finch,18.289473684210535
AM Nayar,7.062078272604588,AM Nayar,71.13786490517793
B Kumar,6.6691386033321525,B Kumar,73.92980466053471
BAW Mendis,6.5,BAW Mendis,75.13157894736842
IC Pandey,11.865384615384615,IC Pandey,37.0091093117409
JD Ryder,9.444755244755244,JD Ryder,54.20831799779169
JE Taylor,8.224637362637363,JE Taylor,62.87757663389242
K Upadhyay,8.725708502024291,K Upadhyay,59.31733432772214
KW Richardson,8.453333333333333,KW Richardson,61.25263157894737
Kamran Khan,15.666666666666668,Kamran Khan,10.0
LJ Wright,10.930618401206637,LJ Wright,43.65086925458442
M Kartik,7.52672858617131,M Kartik,67.83640215088806
M Manhas,6.666666666666667,M Manhas,73.94736842105263
MJ Clarke,6.15,MJ Clarke,77.61842105263158
MN Samuels,7.307070707070707,MN Samuels,69.39712918660288
MR Marsh,8.748732893900357,MR Marsh,59.1537399643922
NL McCullum,6.833333333333333,NL McCullum,72.76315789473685
Parvez Rasool,5.5,Parvez Rasool,82.23684210526316
R Sharma,6.951333333333333,R Sharma,71.92473684210526
RV Gomez,5.0,RV Gomez,85.78947368421052
S Rana,3.0,S Rana,100.0
SB Wagh,7.6162191192266375,SB Wagh,67.20054836338969
SC Ganguly,10.044871794871796,SC Ganguly,49.94433198380567
SPD Smith,15.0,SPD Smith,14.736842105263165
TL Suman,8.0,TL Suman,64.47368421052633
WD Parnell,7.289774307817786,WD Parnell,69.5200246549789
Yuvraj Singh,7.430909090909092,Yuvraj Singh,68.51722488038277
