Source,avgrr,b1,normrr
A Chandila,6.548611111111112,A Chandila,82.61432926829268
A Singh,8.206898841549126,A Singh,69.87382597346404
A Uniyal,11.23076923076923,A Uniyal,46.64165103189495
AA Chavan,8.442137349829657,AA Chavan,68.06650572691849
AA Jhunjhunwala,10.5,AA Jhunjhunwala,52.25609756097562
AC Voges,8.846938775510205,AC Voges,64.95644599303135
AD Mascarenhas,7.311249999999999,AD Mascarenhas,76.75503048780489
AJ Finch,4.285714285714286,AJ Finch,100.0
AJ Tye,12.0,AJ Tye,40.73170731707319
AL Menaria,9.608058608058608,AL Menaria,59.10881801125704
AP Dole,9.391941391941392,AP Dole,60.76923076923077
AS Rajpoot,10.293223443223445,AS Rajpoot,53.84474671669793
AS Raut,9.0,AS Raut,63.78048780487805
Ankit Sharma,7.771428571428571,Ankit Sharma,73.21951219512195
Anureet Singh,10.666666666666666,Anureet Singh,50.97560975609756
B Laughlin,9.400839002267572,B Laughlin,60.700871080139386
BA Stokes,9.1561484470695,BA Stokes,62.580810711539215
BB Sran,10.8,BB Sran,49.95121951219512
BCJ Cutting,7.75,BCJ Cutting,73.38414634146342
BJ Hodge,8.333333333333334,BJ Hodge,68.90243902439025
CH Morris,7.334195804195802,CH Morris,76.57873955312982
D Salunkhe,9.821245421245422,D Salunkhe,57.47091932457786
DJ Hooda,9.945247734721418,DJ Hooda,56.51821862348179
DJM Short,8.25,DJM Short,69.54268292682927
DS Kulkarni,8.66359821140523,DS Kulkarni,66.36503813188665
FY Fazal,10.0,FY Fazal,56.09756097560976
GB Hogg,7.300791208791209,GB Hogg,76.83538461538461
Harmeet Singh (2),8.16,Harmeet Singh (2),70.23414634146341
IS Sodhi,6.797982456140351,IS Sodhi,80.69842747111682
Iqbal Abdulla,9.0,Iqbal Abdulla,63.78048780487805
J Botha,7.273012820512821,J Botha,77.04880393996247
J Theron,9.461538461538462,J Theron,60.23452157598499
JC Archer,7.047389014022555,JC Archer,78.78225513616817
JD Unadkat,9.843659439975228,JD Unadkat,57.2987140587269
JDP Oram,11.5,JDP Oram,44.57317073170731
JP Faulkner,8.219448074328357,JP Faulkner,69.77741113625774
K Gowtham,8.963887428361112,K Gowtham,64.05793805039634
KK Cooper,7.9121004048582995,KK Cooper,72.13874079194233
KW Richardson,7.5293580104106415,KW Richardson,75.07932260294264
Kamran Khan,7.862441643323995,Kamran Khan,72.52026542324248
Kartik Tyagi,9.35,Kartik Tyagi,61.09146341463415
LA Carseldine,5.142857142857142,LA Carseldine,93.41463414634147
LRPL Taylor,11.0,LRPL Taylor,48.41463414634147
LS Livingstone,13.0,LS Livingstone,33.048780487804876
M Morkel,7.097129186602871,M Morkel,78.40010502975844
MK Lomror,8.75,MK Lomror,65.70121951219512
MM Patel,7.445494181384341,MM Patel,75.72364226497396
ND Doshi,11.583333333333334,ND Doshi,43.9329268292683
O Thomas,8.804285714285715,O Thomas,65.28414634146341
PV Tambe,7.392071794871795,PV Tambe,76.13408255159474
Pankaj Singh,9.635982905982905,Pankaj Singh,58.89427767354598
R Bhatia,8.18404761904762,R Bhatia,70.04939024390244
R Parag,9.886243386243386,R Parag,56.97154471544716
R Shukla,9.538095238095238,R Shukla,59.64634146341464
R Tewatia,7.542777777777776,R Tewatia,74.97621951219514
RA Jadeja,6.949735449735449,RA Jadeja,79.53252032520325
S Badree,8.399999999999999,S Badree,68.39024390243904
S Gopal,8.150124653739612,S Gopal,70.31001790419567
S Midhun,13.384615384615385,S Midhun,30.093808630394008
S Narwal,12.238526315789475,S Narwal,38.899127086007695
S Sreesanth,8.07365869424693,S Sreesanth,70.89750027590773
SB Wagh,16.0,SB Wagh,10.0
SK Trivedi,7.682714846946428,SK Trivedi,73.90109324907013
SK Warne,7.288148243352923,SK Warne,76.93251959375193
SM Harwood,7.2846153846153845,SM Harwood,76.95966228893059
SR Watson,7.529921567627575,SR Watson,75.07499283408083
STR Binny,7.537043277089043,STR Binny,75.02027726138905
SW Tait,7.536467817896388,SW Tait,75.02469847225946
Sohail Tanvir,6.259021895978417,Sohail Tanvir,84.8392220187024
T Henderson,6.5,T Henderson,82.98780487804878
TG Southee,8.367654320987652,TG Southee,68.63875338753388
TK Curran,11.011398496240602,TK Curran,48.327060333761224
VR Aaron,12.425132625994694,VR Aaron,37.46544445882127
VS Malik,6.599473684210527,VS Malik,82.22355584082156
YK Pathan,7.523664380732048,YK Pathan,75.12306634315621
