Source,avgrr,b1,normrr
A Zampa,6.942857142857143,A Zampa,87.84522003034901
AB Dinda,7.85606209255332,AB Dinda,73.29491354808822
Ankit Sharma,7.293765182186235,Ankit Sharma,82.25412076941508
DL Chahar,7.392857142857142,DL Chahar,80.67526555386951
I Sharma,9.322420634920634,I Sharma,49.93108244815378
IK Pathan,7.3055555555555545,IK Pathan,82.06626201315126
JA Morkel,11.82857142857143,JA Morkel,10.0
M Ashwin,8.677615384615386,M Ashwin,60.20491420567291
MR Marsh,6.18,MR Marsh,100.0
NLTC Perera,10.00177156177156,NLTC Perera,39.10682640576421
R Ashwin,7.223638583638584,R Ashwin,83.37146414536399
R Bhatia,7.344534412955466,R Bhatia,81.44520282847893
RP Singh,9.062672064777328,RP Singh,54.0697167220608
SM Boland,7.822368421052632,SM Boland,73.83176263876686
