Source,avgrr,b1,normrr
A Choudhary,7.884319327731092,A Choudhary,76.13778199451824
A Kumble,6.629748884292851,A Kumble,84.00695144260757
A Mithun,9.63365190994728,A Mithun,65.16526579782172
A Zampa,8.376666666666667,A Zampa,73.04958183990442
AA Kazi,9.692307692307693,AA Kazi,64.79735318444995
AA Noffke,9.84,AA Noffke,63.87096774193548
AB Dinda,8.71357104883421,AB Dinda,70.93638231017968
AB McDonald,6.6825,AB McDonald,83.6760752688172
AF Milne,10.004307692307695,AF Milne,62.840363937138115
AN Ahmed,9.024557823129253,AN Ahmed,68.98574842123227
AUK Pathan,10.238095238095239,AUK Pathan,61.37395459976104
Abdur Razzak,12.42857142857143,Abdur Razzak,47.63440860215052
Avesh Khan,6.0,Avesh Khan,87.95698924731182
B Akhil,7.055760233918129,B Akhil,81.33483724244901
B Stanlake,8.399999999999999,B Stanlake,72.90322580645162
C de Grandhomme,9.866992481203008,C de Grandhomme,63.701660064138835
CH Gayle,7.999862541391445,CH Gayle,75.41304857550169
CH Morris,6.5218468675715044,CH Morris,84.68375620698876
CJ Anderson,12.198717948717949,CJ Anderson,49.07614189872254
CJ Jordan,8.726020178651757,CJ Jordan,70.85829637046389
CK Langeveldt,7.524444444444444,CK Langeveldt,78.39506172839506
CL White,18.428571428571427,CL White,10.0
CR Woakes,9.963078683330398,CR Woakes,63.098968832157
D Wiese,8.274849991278561,D Wiese,73.6882169005825
D du Preez,7.84,D du Preez,76.415770609319
DJG Sammy,8.5,DJG Sammy,72.27598566308244
DL Vettori,6.395812672176308,DL Vettori,85.47429327487978
DP Nannes,4.894736842105263,DP Nannes,94.88964346349745
DT Christian,8.16,DT Christian,74.40860215053763
DW Steyn,7.05047440482223,DW Steyn,81.36799208444837
HV Patel,8.618242607066136,HV Patel,71.53432056499736
I Udana,9.164974358974359,I Udana,68.10499954048342
Iqbal Abdulla,8.28291806439175,Iqbal Abdulla,73.6376107072202
J Syed Mohammad,9.345953520164047,J Syed Mohammad,66.96982559036888
JA Morkel,8.02967032967033,JA Morkel,75.22608216156603
JD Ryder,7.603578947368422,JD Ryder,77.89869835880022
JD Unadkat,7.552544378698225,JD Unadkat,78.218807660495
JH Kallis,8.390544983471813,JH Kallis,72.9625314656786
JJ van der Wath,10.725555555555554,JJ van der Wath,58.316407805655125
K Khejroliya,10.818315789473685,K Khejroliya,57.73457838143746
KP Appanna,8.749361569604485,KP Appanna,70.71188979638764
KP Pietersen,7.595512820512821,KP Pietersen,77.94929234445362
KW Richardson,9.177884615384617,KW Richardson,68.02402122966637
LRPL Taylor,11.142857142857142,LRPL Taylor,55.69892473118279
M Ashwin,6.989999999999999,M Ashwin,81.74731182795699
M Kartik,7.388959636854373,M Kartik,79.24487682976648
M Muralitharan,7.381771737034894,M Muralitharan,79.2899622228994
MA Starc,7.205965119666886,MA Starc,80.392691901731
MC Henriques,9.35175968768074,MC Henriques,66.93340697691292
MM Ali,8.01446455505279,MM Ali,75.32145888407749
MP Stoinis,8.955571504518874,MP Stoinis,69.41845830498914
Mohammed Siraj,8.795260232454638,Mohammed Siraj,70.4239949577218
NA Saini,8.413339615849738,NA Saini,72.81955438087081
ND Doshi,4.08,ND Doshi,100.0
P Kumar,8.200988697386393,P Kumar,74.15150458628607
P Negi,7.471797228113019,P Negi,78.72528620359218
P Parameswaran,8.251228070175438,P Parameswaran,73.83638307237628
P Ray Barman,14.0,P Ray Barman,37.77777777777777
Pankaj Singh,9.841174603174602,Pankaj Singh,63.86360015929909
Parvez Rasool,9.479166666666668,Parvez Rasool,66.13425925925925
R Ninan,10.833333333333332,R Ninan,57.640382317801674
R Rampaul,7.045087412587413,R Rampaul,81.40178146226533
R Vinay Kumar,8.312609313891867,R Vinay Kumar,73.45137527128756
RE van der Merwe,7.668476260581523,RE van der Merwe,77.49163635835963
RP Singh,8.855734265734267,RP Singh,70.04467754467754
RR Bhatkal,17.5,RR Bhatkal,15.82437275985663
S Aravind,8.42058046600983,S Aravind,72.77413686194552
S Badree,7.819047619047618,S Badree,76.54719235364396
S Dube,6.895238095238095,S Dube,82.34169653524492
S Rana,8.0,S Rana,75.41218637992831
S Sriram,12.0,S Sriram,50.32258064516128
SA Abbott,10.5,SA Abbott,59.73118279569892
SB Jakati,11.181818181818182,SB Jakati,55.45454545454545
SB Joshi,10.298245614035087,SB Joshi,60.996667295478844
SR Watson,8.473006582789193,SR Watson,72.44529921189574
STR Binny,7.751282051282051,STR Binny,76.97224519805164
Sachin Baby,5.0,Sachin Baby,94.22939068100358
Shahbaz Ahmed,7.74,Shahbaz Ahmed,77.04301075268816
T Shamsi,9.4375,T Shamsi,66.3956093189964
TG Southee,9.761665235349444,TG Southee,64.36231483203753
TM Dilshan,9.862637362637361,TM Dilshan,63.7289771160739
TM Head,10.525714285714287,TM Head,59.56989247311827
TS Mills,8.866769230769231,TS Mills,69.9754618141715
UT Yadav,8.669233625373977,UT Yadav,71.21448442865784
V Kohli,8.623894054663285,V Kohli,71.49887241698656
VR Aaron,8.905140331318824,VR Aaron,69.73478286807189
Washington Sundar,7.817928205128205,Washington Sundar,76.55421376711699
YS Chahal,7.7612305937265225,YS Chahal,76.90984394615981
Yuvraj Singh,8.384740259740258,Yuvraj Singh,72.99894102313458
Z Khan,7.800506280299889,Z Khan,76.66349107338779
