Source,avgrr,b1,normrr
A Ashish Reddy,10.006039415130324,A Ashish Reddy,63.041762316917335
A Mishra,7.460556091082408,A Mishra,82.03871432280309
A Nehra,7.973384687208216,A Nehra,78.21147250361278
Abdul Samad,17.113333333333333,Abdul Samad,10.0
Abhishek Sharma,9.698571428571428,Abhishek Sharma,65.33639710349185
Anand Rajan,5.053846153846154,Anand Rajan,100.0
Ankit Sharma,8.5,Ankit Sharma,74.28134036400749
B Kumar,7.417491928474385,B Kumar,82.36010233682367
B Stanlake,7.764807692307691,B Stanlake,79.76808343255657
BB Sran,8.605596228333068,BB Sran,73.49327529884107
BCJ Cutting,8.30232142857143,BCJ Cutting,75.75661631594294
Basil Thampi,9.777548701298702,Basil Thampi,64.74698940815095
Bipul Sharma,8.393887362637361,Bipul Sharma,75.0732593917819
CJ Jordan,8.485714285714284,CJ Jordan,74.38795470561078
CL White,8.0,CL White,78.01284232012247
CR Brathwaite,8.87374226006192,CR Brathwaite,71.4921004149997
DA Warner,6.0,DA Warner,92.9388501445824
DJ Hooda,8.557340095801633,DJ Hooda,73.85341100471226
DJG Sammy,9.052375849125076,DJG Sammy,70.15895724096569
DW Steyn,7.106416742389283,DW Steyn,84.68165766757446
GH Vihari,7.2615384615384615,GH Vihari,83.52398367069229
I Sharma,8.32205494480094,I Sharma,75.60934500712006
IK Pathan,8.586363636363636,IK Pathan,73.63680820795126
JO Holder,8.47701923076923,JO Holder,74.45284593468277
KK Ahmed,8.719730806128707,KK Ahmed,72.6414884982315
KS Williamson,9.5,KS Williamson,66.81833645177751
KV Sharma,8.14441911579245,KV Sharma,76.93504189396262
MC Henriques,8.369712597589643,MC Henriques,75.25367575791026
MR Marsh,9.0,MR Marsh,70.5498384078925
Mohammad Nabi,7.082050713261893,Mohammad Nabi,84.86350143827767
Mohammed Siraj,9.113095238095239,Mohammed Siraj,69.70580820353315
Mustafizur Rahman,7.158060762766645,Mustafizur Rahman,84.29623814145492
NLTC Perera,7.920865384615384,NLTC Perera,78.60342426433067
P Kumar,9.268798331298331,P Kumar,68.54379540981216
Parvez Rasool,10.55,Parvez Rasool,58.98218234393604
RS Bopara,8.708261037208405,RS Bopara,72.72708742855608
Rashid Khan,6.315912796880538,Rashid Khan,90.58119170553944
S Kaul,8.781166763061501,S Kaul,72.18299171129047
S Nadeem,8.65879120879121,S Nadeem,73.09628095157096
Sandeep Sharma,7.49211596438141,Sandeep Sharma,81.80318286490315
Shakib Al Hasan,8.47268573607933,Shakib Al Hasan,74.48518682250713
T Natarajan,8.020645805218173,T Natarajan,77.8587625950081
TA Boult,8.11103448275862,TA Boult,77.18419154090245
V Shankar,7.615064935064936,V Shankar,80.88561421568735
Y Venugopal Rao,8.0,Y Venugopal Rao,78.01284232012247
YK Pathan,7.5,YK Pathan,81.74434427623746
Yuvraj Singh,9.489795918367347,Yuvraj Singh,66.89448955292272
